	id	length	mass
10589	K7ER13_HUMAN	92	10589
8568	Q9TQA9_HUMAN	74	8568
9204	V5L5N1_HUMAN	81	9204
14623	U3KQP8_HUMAN	124	14623
84127	A0A994J4N3_HUMAN	739	84127
8055	E9PCY8_HUMAN	74	8055
141518	F4MH27_HUMAN	1268	141518
147685	F4MH30_HUMAN	1335	147685
136604	F4MH31_HUMAN	1223	136604
147760	F4MH32_HUMAN	1331	147760
160181	F4MH35_HUMAN	1444	160181
155377	F4MH40_HUMAN	1399	155377
144296	F4MH46_HUMAN	1293	144296
152686	F4MH47_HUMAN	1377	152686
153925	F4MH50_HUMAN	1389	153925
147177	F4MH51_HUMAN	1320	147177
142792	F4MH60_HUMAN	1290	142792
152557	F4MH62_HUMAN	1376	152557
139738	F4MH91_HUMAN	1264	139738
151573	F4MH92_HUMAN	1367	151573
90927	F4MHB2_HUMAN	824	90927
89914	F4MHJ0_HUMAN	788	89914
154842	F4MHJ5_HUMAN	1408	154842
117152	F4MHS7_HUMAN	1063	117152
28911	I3L120_HUMAN	260	28911
30521	B4DX01_HUMAN	274	30521
181686	F5GWN5_HUMAN	1606	181686
28084	Q6WG76_HUMAN	244	28084
225503	F5GWT4_HUMAN	2134	225503
11128	Q6EV95_HUMAN	95	11128
153966	F5GWV3_HUMAN	1389	153966
26505	A0A126LAW7_HUMAN	236	26505
75086	F5GX24_HUMAN	660	75086
21964	A0A087WTZ7_HUMAN	209	21964
13631	C0KTE6_HUMAN	123	13631
23922	A0A1B0GUR8_HUMAN	216	23922
13042	H0YGV8_HUMAN	117	13042
51140	F5GX88_HUMAN	476	51140
5082	L8EAW7_HUMAN	48	5082
58130	F5GXE4_HUMAN	511	58130
271531	F5GXF5_HUMAN	2457	271531
19799	H7C3R1_HUMAN	173	19799
114763	F5GXI7_HUMAN	1025	114763
25885	F5GXJ8_HUMAN	224	25885
21412	C0MQV5_HUMAN	183	21412
16110	Q8N9E6_HUMAN	148	16110
187670	F5GXS0_HUMAN	1698	187670
36164	F5GXU9_HUMAN	328	36164
9995	O14597_HUMAN	85	9995
9554	X6RHS9_HUMAN	85	9554
15917	S4R3Z1_HUMAN	148	15917
20212	H0YBD1_HUMAN	181	20212
121714	F5GY55_HUMAN	1092	121714
20892	Q9UQU5_HUMAN	181	20892
28539	B4E3D5_HUMAN	266	28539
13396	Q0ZCF2_HUMAN	122	13396
139481	F5GYF8_HUMAN	1257	139481
25948	Q6ICJ4_HUMAN	230	25948
32360	H7C3U5_HUMAN	308	32360
18426	F6UT28_HUMAN	165	18426
41513	F5GYK7_HUMAN	379	41513
68973	F5GYL3_HUMAN	609	68973
12511	Q71JB2_HUMAN	113	12511
36013	F5GYS8_HUMAN	325	36013
108920	F5GYU8_HUMAN	954	108920
54526	F5GYW0_HUMAN	473	54526
6926	I3L4C7_HUMAN	65	6926
57077	F5GYX3_HUMAN	501	57077
68244	O14729_HUMAN	588	68244
18321	E9PR64_HUMAN	169	18321
49175	B7Z1G3_HUMAN	440	49175
64233	F5GZ78_HUMAN	589	64233
75000	F5GZ90_HUMAN	688	75000
17024	F5H6J3_HUMAN	156	17024
16151	Q7Z4P6_HUMAN	147	16151
14568	E7EUS6_HUMAN	125	14568
21886	B4DZZ9_HUMAN	195	21886
77016	F5GZG9_HUMAN	734	77016
21207	K7P5R6_HUMAN	181	21207
99296	F5GZK2_HUMAN	956	99296
84072	F5GZP6_HUMAN	744	84072
16195	J3QLC0_HUMAN	143	16195
14616	H7C591_HUMAN	119	14616
120322	F5GZZ9_HUMAN	1109	120322
12031	I3L1I4_HUMAN	110	12031
67606	F5H008_HUMAN	590	67606
7596	V5NWA4_HUMAN	66	7596
31506	Q6F3E2_HUMAN	273	31506
45743	A0A8J9BZN9_HUMAN	403	45743
21803	J3QKQ2_HUMAN	197	21803
22287	H7C4H6_HUMAN	191	22287
19755	Q59FS8_HUMAN	170	19755
83675	F5H0F9_HUMAN	742	83675
80077	F5H0I3_HUMAN	728	80077
68109	F5H0K0_HUMAN	638	68109
11290	Q30165_HUMAN	94	11290
25332	B4DZK9_HUMAN	217	25332
8582	V9GYF9_HUMAN	76	8582
74593	B3KQY7_HUMAN	670	74593
111643	F5H127_HUMAN	1012	111643
79179	F5H142_HUMAN	702	79179
24593	F5H155_HUMAN	225	24593
17914	B7Z3N5_HUMAN	158	17914
67377	F5H1B7_HUMAN	616	67377
20654	J3QRR7_HUMAN	182	20654
18911	Q6ZU42_HUMAN	181	18911
112472	F5H1R4_HUMAN	1019	112472
41729	Q6P0P7_HUMAN	374	41729
66543	F5H1T4_HUMAN	603	66543
19180	F5H1T8_HUMAN	172	19180
23828	C9JQY5_HUMAN	205	23828
45388	F5H209_HUMAN	409	45388
296671	F5H212_HUMAN	2717	296671
21279	Q59EJ1_HUMAN	185	21279
34806	B7Z4K7_HUMAN	332	34806
43873	F5H251_HUMAN	394	43873
45494	H0Y4N1_HUMAN	419	45494
13816	Q6T5J5_HUMAN	118	13816
150533	F5H2B9_HUMAN	1307	150533
30784	F5H2E7_HUMAN	292	30784
16519	Q9NXM7_HUMAN	145	16519
20303	Q70V16_HUMAN	188	20303
88931	F5H2S8_HUMAN	783	88931
111475	F5H2T0_HUMAN	983	111475
10767	Q860E4_HUMAN	89	10767
58567	F5H2X1_HUMAN	509	58567
106298	F5H2X7_HUMAN	954	106298
17338	M0R0N9_HUMAN	163	17338
82969	F5H365_HUMAN	736	82969
170682	F5H369_HUMAN	1486	170682
50869	F5H3B6_HUMAN	450	50869
19432	E5RGD0_HUMAN	168	19432
7568	Q7Z7J1_HUMAN	68	7568
20499	X2D544_HUMAN	181	20499
151324	F5H3N7_HUMAN	1363	151324
158123	F5H3Q5_HUMAN	1633	158123
27437	F5H3X6_HUMAN	247	27437
55148	F4MHI8_HUMAN	485	55148
44341	F5H415_HUMAN	396	44341
18772	F5H459_HUMAN	162	18772
109074	F5H483_HUMAN	985	109074
81478	F5H4D1_HUMAN	734	81478
18909	J3KN19_HUMAN	162	18909
23558	Q9TQI5_HUMAN	206	23558
13663	J3QLU1_HUMAN	123	13663
21092	V5JA74_HUMAN	181	21092
161147	F5H527_HUMAN	1450	161147
110369	F5H578_HUMAN	972	110369
38051	F6IQU2_HUMAN	337	38051
20008	B4DTL6_HUMAN	180	20008
19770	Q8NF78_HUMAN	176	19770
100507	F5H5T5_HUMAN	871	100507
16582	S4R386_HUMAN	141	16582
36535	F5H5Y1_HUMAN	350	36535
8915	M0QYV4_HUMAN	80	8915
15718	Q8WY80_HUMAN	147	15718
48087	F5H699_HUMAN	433	48087
118994	F5H6E2_HUMAN	1039	118994
23745	F5H6F8_HUMAN	217	23745
16424	U3THN0_HUMAN	160	16424
58773	F5H6I7_HUMAN	523	58773
85553	F5H6I8_HUMAN	798	85553
74399	F5H6L7_HUMAN	677	74399
24387	F5H6M0_HUMAN	219	24387
20370	Q8ND81_HUMAN	190	20370
32301	J3KTI8_HUMAN	306	32301
149317	F5H6S1_HUMAN	1356	149317
51799	B4E113_HUMAN	487	51799
14307	E9PN64_HUMAN	126	14307
78290	F5H6Y5_HUMAN	691	78290
55795	F5H731_HUMAN	495	55795
19672	Q96A30_HUMAN	180	19672
150519	F5H748_HUMAN	1400	150519
11894	S4R3J6_HUMAN	107	11894
13381	C9JT43_HUMAN	121	13381
15666	K9MSZ3_HUMAN	138	15666
20157	Q9H8R6_HUMAN	173	20157
98890	F5H7K1_HUMAN	870	98890
61045	F5H7N0_HUMAN	529	61045
28153	F5H7Q6_HUMAN	253	28153
28525	Q59GG8_HUMAN	259	28525
31694	T2DL37_HUMAN	273	31694
8505	V5NQ69_HUMAN	71	8505
23478	Q9NY86_HUMAN	204	23478
17546	Q8WTS0_HUMAN	156	17546
14757	W0KRH6_HUMAN	133	14757
7288	Q86WA5_HUMAN	65	7288
33167	E7ET14_HUMAN	309	33167
41879	F5H8B0_HUMAN	382	41879
160158	F5H8B4_HUMAN	1444	160158
66013	F5H8D7_HUMAN	602	66013
37172	H3BT31_HUMAN	328	37172
14949	D6RC81_HUMAN	133	14949
32198	F5H8K0_HUMAN	291	32198
42558	I7AFR5_HUMAN	364	42558
59868	A0A140T8X8_HUMAN	626	59868
115339	F6M2K2_HUMAN	1070	115339
35058	B7Z8B8_HUMAN	311	35058
57330	F6MF26_HUMAN	523	57330
18595	B3KP03_HUMAN	168	18595
35406	I2GAD8_HUMAN	312	35406
65512	U3NG26_HUMAN	568	65512
54018	F6QDS0_HUMAN	479	54018
633667	F6QMI7_HUMAN	5537	633667
20450	Q8N220_HUMAN	186	20450
60895	A0A0S2Z3Z1_HUMAN	586	60895
26286	Q6RFR6_HUMAN	228	26286
9413	K7EJF3_HUMAN	80	9413
55495	F6RVM3_HUMAN	510	55495
14348	M0QZ75_HUMAN	122	14348
25898	A0A7P0T8A5_HUMAN	233	25898
39950	F6SYF8_HUMAN	364	39950
60877	A9UEZ5_HUMAN	557	60877
26708	Q8WXZ3_HUMAN	229	26708
95532	F6U0I4_HUMAN	824	95532
46146	B4DE22_HUMAN	402	46146
45217	F6U4U2_HUMAN	388	45217
13519	M0QZQ8_HUMAN	121	13519
8578	O60400_HUMAN	81	8578
49555	B4DVN9_HUMAN	431	49555
62167	F6VX93_HUMAN	547	62167
13797	K4KBD6_HUMAN	118	13797
32936	D3YRA6_HUMAN	290	32936
31904	H7C393_HUMAN	284	31904
12157	K7ER23_HUMAN	115	12157
83989	F6X3S4_HUMAN	739	83989
70952	E9PQM8_HUMAN	636	70952
26098	A0A7L7TR25_HUMAN	228	26098
42650	H0Y953_HUMAN	398	42650
29870	U3PYM0_HUMAN	261	29870
33911	F8U8C0_HUMAN	310	33911
281521	F8VNQ3_HUMAN	2535	281521
17790	X1WI29_HUMAN	159	17790
14265	A0A7S5EVD5_HUMAN	126	14265
19257	Q8ND88_HUMAN	172	19257
111014	F8VP57_HUMAN	1004	111014
27746	J3QLQ8_HUMAN	249	27746
22103	F8VPA7_HUMAN	200	22103
47866	Q6FH58_HUMAN	440	47866
58186	F8VPI5_HUMAN	505	58186
59132	F8VPL6_HUMAN	540	59132
49413	F8VQ12_HUMAN	457	49413
44813	F8VQ14_HUMAN	416	44813
15746	M0R1Q3_HUMAN	145	15746
116514	F8VQP2_HUMAN	1073	116514
14180	E9PMW7_HUMAN	130	14180
81657	F8VQX7_HUMAN	721	81657
4273	Q53RN7_HUMAN	38	4273
101038	F8VR32_HUMAN	938	101038
16806	B5MCL5_HUMAN	147	16806
17017	Q9H5D4_HUMAN	152	17017
30987	F8VR82_HUMAN	270	30987
11574	L8E941_HUMAN	108	11574
27795	A0A7I2V3I7_HUMAN	289	27795
28088	Q6IB23_HUMAN	260	28088
19479	H7C312_HUMAN	170	19479
7209	M0R008_HUMAN	66	7209
17036	K7ERZ4_HUMAN	153	17036
8208	U5YCB5_HUMAN	70	8208
12281	K7ESG8_HUMAN	109	12281
13743	Q8N2Q0_HUMAN	122	13743
12220	Q6UWB8_HUMAN	110	12220
17660	H7C530_HUMAN	167	17660
51091	Q9BRL4_HUMAN	448	51091
19781	K7ENM3_HUMAN	178	19781
24602	B7Z742_HUMAN	217	24602
99946	F8VS42_HUMAN	935	99946
33408	F8VS81_HUMAN	291	33408
25410	Q86V90_HUMAN	223	25410
77056	F8VSE7_HUMAN	693	77056
71424	A0A804HJQ5_HUMAN	645	71424
21540	F5H362_HUMAN	190	21540
106117	F5GY05_HUMAN	933	106117
210937	F8VU39_HUMAN	1903	210937
239565	F8VU56_HUMAN	2127	239565
14529	F8VR90_HUMAN	131	14529
79053	F8VUA7_HUMAN	694	79053
10561	Q4R1E2_HUMAN	89	10561
20088	F8VUF6_HUMAN	178	20088
10802	L8BTX7_HUMAN	89	10802
24103	A0A4D5RAB8_HUMAN	222	24103
22947	H3BVG7_HUMAN	212	22947
21937	F8VUZ4_HUMAN	204	21937
58621	F8VV52_HUMAN	531	58621
145977	F8VV64_HUMAN	1344	145977
22340	F8VVA7_HUMAN	198	22340
85922	F8VVB6_HUMAN	768	85922
112945	F8VVB8_HUMAN	1037	112945
27465	Q86T18_HUMAN	258	27465
100383	F8VVR8_HUMAN	898	100383
46453	F8VVS7_HUMAN	421	46453
26990	Q30148_HUMAN	237	26990
16986	U3KPV8_HUMAN	146	16986
30526	F8VW18_HUMAN	278	30526
70130	F8VW50_HUMAN	613	70130
10146	A0A0B4J270_HUMAN	105	10146
20945	Q9UE95_HUMAN	181	20945
16282	F8VWB0_HUMAN	149	16282
43934	B7Z7Q6_HUMAN	391	43934
101005	F8VWL3_HUMAN	903	101005
30456	Q5TBF5_HUMAN	268	30456
13986	Q9H014_HUMAN	125	13986
8944	A0A8V8TNL8_HUMAN	77	8944
45315	F8VWW8_HUMAN	407	45315
16981	H0YME2_HUMAN	159	16981
8288	U5YC04_HUMAN	70	8288
48534	F8VX55_HUMAN	424	48534
7487	O75755_HUMAN	64	7487
10628	Q9UE97_HUMAN	91	10628
136184	F8VXC8_HUMAN	1245	136184
18556	G3CA57_HUMAN	174	18556
142602	F8VXG7_HUMAN	1271	142602
4771	L8ECD5_HUMAN	40	4771
78867	F8VXI9_HUMAN	708	78867
14576	F5H5H9_HUMAN	130	14576
20522	Q9NSM6_HUMAN	177	20522
14913	Q3T1A9_HUMAN	130	14913
5426	H3BNS5_HUMAN	53	5426
15848	D6RGF7_HUMAN	149	15848
25260	A0A858B8K7_HUMAN	220	25260
101688	F8VXU8_HUMAN	906	101688
5518	H0YD00_HUMAN	57	5518
25859	F8VXY6_HUMAN	228	25859
19617	G3V5L5_HUMAN	169	19617
13428	A0A7S5EYS5_HUMAN	124	13428
18781	H3BPL2_HUMAN	172	18781
10035	Q8IXB9_HUMAN	108	10035
20812	A0A3B3ITB1_HUMAN	183	20812
16853	K7ELX5_HUMAN	147	16853
18516	Q53SY0_HUMAN	164	18516
45634	F8VZ44_HUMAN	422	45634
25687	B7Z632_HUMAN	219	25687
71822	F8VZ81_HUMAN	647	71822
34046	Q9P0R4_HUMAN	297	34046
17499	K7EN57_HUMAN	151	17499
190058	F8VZH8_HUMAN	1676	190058
17562	Q6NZ94_HUMAN	155	17562
22680	Q59F84_HUMAN	206	22680
76533	F8VZN8_HUMAN	692	76533
24105	A0A096LP81_HUMAN	222	24105
18934	Q6ZP60_HUMAN	171	18934
47055	F8VZV9_HUMAN	412	47055
43774	H7C4Q3_HUMAN	419	43774
29224	F8W031_HUMAN	263	29224
13828	K7ES23_HUMAN	120	13828
16290	F8W1R7_HUMAN	145	16290
195130	F8W059_HUMAN	1722	195130
20060	F8W0H4_HUMAN	175	20060
20131	F8WDS6_HUMAN	186	20131
13632	Q3SWV2_HUMAN	112	13632
47291	B4DL88_HUMAN	445	47291
192377	F8W0P6_HUMAN	1697	192377
28393	F8W0P7_HUMAN	270	28393
13747	C9IZ13_HUMAN	121	13747
153895	F8W108_HUMAN	1451	153895
33266	H0YN07_HUMAN	312	33266
11982	A0A5C2GK81_HUMAN	109	11982
16027	F8W1C0_HUMAN	147	16027
54606	F8W1C3_HUMAN	485	54606
38201	Q0E7X4_HUMAN	337	38201
52780	F8W1P7_HUMAN	482	52780
22229	Q05BI2_HUMAN	194	22229
7302	E5RIJ7_HUMAN	63	7302
13393	B0EVZ6_HUMAN	124	13393
63113	F8W689_HUMAN	596	63113
41157	F8W6A0_HUMAN	363	41157
32073	Q59HE5_HUMAN	281	32073
61426	F8W6I3_HUMAN	553	61426
26544	E5RIV4_HUMAN	232	26544
82212	F8W6L0_HUMAN	731	82212
65486	Q9BSR4_HUMAN	582	65486
37865	B4DF37_HUMAN	332	37865
67687	F8W6Z2_HUMAN	601	67687
88717	F8W717_HUMAN	803	88717
78760	F8W785_HUMAN	668	78760
20118	A0A0S2Z416_HUMAN	176	20118
82109	F8W7L6_HUMAN	730	82109
82106	F8W7R4_HUMAN	704	82106
71134	F8W7S1_HUMAN	633	71134
130015	F8W7U0_HUMAN	1149	130015
136862	F8W7U3_HUMAN	1253	136862
50667	Q14887_HUMAN	477	50667
208844	F8W883_HUMAN	1880	208844
32095	B4E058_HUMAN	279	32095
47272	F8W8D4_HUMAN	422	47272
81791	Q9HAB4_HUMAN	744	81791
53163	F8W8I8_HUMAN	460	53163
136583	F8W8P5_HUMAN	1194	136583
154928	F8W8R6_HUMAN	1408	154928
74586	F8W8T1_HUMAN	654	74586
8475	V5NQA3_HUMAN	71	8475
66786	F8W930_HUMAN	605	66786
44471	M0QZB7_HUMAN	408	44471
52194	A8K8X5_HUMAN	454	52194
370271	F8W9C3_HUMAN	3388	370271
13853	Q6ZW14_HUMAN	122	13853
112365	F8W9L8_HUMAN	992	112365
19964	C9J3D9_HUMAN	169	19964
122005	F8W9P4_HUMAN	1068	122005
157464	F8W9S7_HUMAN	1412	157464
70137	B4DXI9_HUMAN	633	70137
25324	S6C4S4_HUMAN	239	25324
88277	F8W9U4_HUMAN	828	88277
8034	A0A172Q393_HUMAN	75	8034
96882	F8W9W0_HUMAN	874	96882
62193	F8W9W2_HUMAN	542	62193
9503	Q9P012_HUMAN	83	9503
18236	E7EWJ9_HUMAN	169	18236
44995	F8W9W8_HUMAN	415	44995
73041	F8W9X7_HUMAN	630	73041
28676	K7ELE3_HUMAN	264	28676
259219	F8W9Z1_HUMAN	2294	259219
162758	F8WA11_HUMAN	1478	162758
7544	C9JUI1_HUMAN	64	7544
28928	B4E2Q2_HUMAN	259	28928
54115	F8WAC9_HUMAN	475	54115
89463	F8WAD8_HUMAN	803	89463
64449	F8WAE5_HUMAN	580	64449
203781	F8WAE6_HUMAN	1809	203781
81038	S4S3R8_HUMAN	707	81038
111386	F8WAI0_HUMAN	975	111386
10494	Q7YQ07_HUMAN	89	10494
30347	H7C3J3_HUMAN	269	30347
101514	F8WAN1_HUMAN	911	101514
75830	F8VZI0_HUMAN	694	75830
6072	O75836_HUMAN	55	6072
17897	F8WAS8_HUMAN	175	17897
8291	Q6QE20_HUMAN	69	8291
6186	Q2MCP1_HUMAN	55	6186
14733	A3EY20_HUMAN	128	14733
117746	B7Z2H4_HUMAN	1048	117746
6760	L8E8S6_HUMAN	58	6760
20076	L8E7J6_HUMAN	197	20076
12523	J3KNR6_HUMAN	108	12523
41852	Q59E96_HUMAN	369	41852
7182	F8WBH7_HUMAN	63	7182
27784	F8WBJ0_HUMAN	244	27784
14786	Q6ZMG6_HUMAN	136	14786
7781	Q9BZH8_HUMAN	68	7781
19750	Q8N7R2_HUMAN	185	19750
6473	B3VRH5_HUMAN	53	6473
12560	H3BR40_HUMAN	115	12560
69324	F8WC54_HUMAN	628	69324
22709	K7ESG0_HUMAN	205	22709
24098	Q59F82_HUMAN	218	24098
20589	Q19UI4_HUMAN	182	20589
21059	V5JAB5_HUMAN	181	21059
18767	F8WCH8_HUMAN	173	18767
86513	F8WCI3_HUMAN	749	86513
11688	I3L4D5_HUMAN	104	11688
10785	Q9TP94_HUMAN	89	10785
110771	F8WCM8_HUMAN	1022	110771
33518	F8WCN3_HUMAN	298	33518
189068	F8WCU9_HUMAN	1762	189068
57519	B2R774_HUMAN	510	57519
7534	V5NVQ9_HUMAN	66	7534
18748	M0R367_HUMAN	165	18748
186179	F8WD26_HUMAN	1631	186179
30739	F5H1L9_HUMAN	293	30739
43283	F8WD68_HUMAN	403	43283
9193	Q86UR0_HUMAN	81	9193
8312	K7ESD6_HUMAN	71	8312
15433	H0Y9H7_HUMAN	137	15433
9892	G3V5R8_HUMAN	92	9892
16135	Q7Z2R5_HUMAN	142	16135
6137	M0QZT3_HUMAN	56	6137
9540	J3KSH5_HUMAN	86	9540
14503	Q9NWP5_HUMAN	129	14503
10892	S0F3J2_HUMAN	89	10892
22239	Q3ZCU6_HUMAN	195	22239
14311	X5DP70_HUMAN	134	14311
108449	F8WE42_HUMAN	969	108449
78624	F8WE62_HUMAN	711	78624
13022	A2N0T1_HUMAN	119	13022
44792	H0YJ66_HUMAN	399	44792
215359	F8WE88_HUMAN	1855	215359
86722	F8WE91_HUMAN	781	86722
8634	Q29834_HUMAN	72	8634
11132	F8WAQ5_HUMAN	99	11132
9356	Q9H376_HUMAN	87	9356
45627	A0A140VJD5_HUMAN	416	45627
18487	H7C4W7_HUMAN	177	18487
19132	F8WEP2_HUMAN	170	19132
8597	V9GYU6_HUMAN	76	8597
7936	V9GYM2_HUMAN	70	7936
23639	E7EUX4_HUMAN	212	23639
15679	Q9Y349_HUMAN	138	15679
4616	Q9HAS7_HUMAN	39	4616
63464	F8WF14_HUMAN	562	63464
34860	Q50KK5_HUMAN	305	34860
7002	M0R1T7_HUMAN	63	7002
12696	A0A7S5C337_HUMAN	118	12696
4416	Q2A683_HUMAN	45	4416
6871	A0A1B0GUW1_HUMAN	65	6871
52270	F8WJN3_HUMAN	478	52270
42224	F8WSN4_HUMAN	391	42224
82870	U4PCV3_HUMAN	732	82870
88646	G0XQ39_HUMAN	791	88646
23866	G3CAT0_HUMAN	212	23866
23880	F5H3R5_HUMAN	213	23880
38079	A0A0F7NJH7_HUMAN	337	38079
5066	Q6T774_HUMAN	49	5066
7920	L8EAF7_HUMAN	64	7920
9088	V5L6A6_HUMAN	77	9088
9449	Q69YW4_HUMAN	86	9449
38984	F6IQK0_HUMAN	349	38984
25377	C9J2C4_HUMAN	228	25377
8775	R4GN45_HUMAN	77	8775
49183	G3CIS4_HUMAN	430	49183
23113	A0A126LAW4_HUMAN	191	23113
88901	G3K0T4_HUMAN	783	88901
75964	G3V0E5_HUMAN	679	75964
41653	G3V0G3_HUMAN	375	41653
8985	Q8N4C5_HUMAN	78	8985
63739	G3V105_HUMAN	562	63739
294060	G3V106_HUMAN	2653	294060
37452	B4DXH7_HUMAN	369	37452
126203	G3V112_HUMAN	1083	126203
67277	G3V119_HUMAN	598	67277
9950	Q7Z7A8_HUMAN	92	9950
54021	G3V140_HUMAN	463	54021
49170	A0A0G2JM57_HUMAN	447	49170
25113	X6RFA8_HUMAN	225	25113
99250	G3V164_HUMAN	884	99250
60215	G3V167_HUMAN	531	60215
11148	A0A8V8TQP3_HUMAN	103	11148
84087	G3V186_HUMAN	755	84087
17654	G3V192_HUMAN	153	17654
13021	Q6ZNT5_HUMAN	121	13021
57735	G3V1A6_HUMAN	532	57735
123049	G3V1A9_HUMAN	1084	123049
12876	Q96HY3_HUMAN	113	12876
30821	A0A1B0GW63_HUMAN	272	30821
208295	G3V1L9_HUMAN	1861	208295
11948	Q71RC6_HUMAN	108	11948
20247	J3QLC8_HUMAN	174	20247
125119	G3V1R5_HUMAN	1087	125119
149346	G3V1S3_HUMAN	1309	149346
21948	H0Y717_HUMAN	196	21948
64704	G3V1S7_HUMAN	577	64704
12571	I3L1X7_HUMAN	113	12571
11243	E9PNE1_HUMAN	93	11243
5942	Q9UPB4_HUMAN	52	5942
169468	G3V1X8_HUMAN	1504	169468
59883	G3V1Y8_HUMAN	555	59883
50174	B2RB17_HUMAN	447	50174
14325	F8VWE0_HUMAN	127	14325
14841	Q6UX66_HUMAN	139	14841
11885	Q9HAW6_HUMAN	108	11885
49277	G3V258_HUMAN	449	49277
21075	U5IQI3_HUMAN	181	21075
15956	H0YNP9_HUMAN	143	15956
19144	A0A7I2V4X6_HUMAN	167	19144
10463	Q9UQT2_HUMAN	89	10463
107020	G3V2C6_HUMAN	979	107020
5774	Q7Z2I5_HUMAN	52	5774
19527	G3V2D5_HUMAN	176	19527
248746	G3V2D8_HUMAN	2225	248746
19100	K7EMR8_HUMAN	169	19100
62716	G3V2E7_HUMAN	551	62716
5144	I3L1N9_HUMAN	47	5144
8824	G3V2H0_HUMAN	75	8824
28181	G3V2I9_HUMAN	252	28181
24910	Q6GMV8_HUMAN	234	24910
144229	G3V2J9_HUMAN	1281	144229
19032	A0A8I5KX77_HUMAN	169	19032
52680	G3V2N2_HUMAN	494	52680
22557	J3QKX2_HUMAN	202	22557
17058	J3KND3_HUMAN	152	17058
37292	G3V2R1_HUMAN	345	37292
19401	H3BV82_HUMAN	173	19401
13583	V9H1D9_HUMAN	128	13583
15818	F8WBC2_HUMAN	141	15818
31439	M4THY5_HUMAN	273	31439
14125	M0R2L4_HUMAN	123	14125
17422	H7BZW7_HUMAN	144	17422
7280	R4GMT3_HUMAN	65	7280
8837	V5LKJ6_HUMAN	75	8837
13762	Q9NWP7_HUMAN	126	13762
25676	G3V2Y4_HUMAN	234	25676
78879	G3V342_HUMAN	688	78879
18982	G3V358_HUMAN	172	18982
21345	E5RJE6_HUMAN	184	21345
12527	Q5T7S4_HUMAN	110	12527
6913	Q9UEH2_HUMAN	62	6913
214415	G3V394_HUMAN	1841	214415
65391	B2RCY7_HUMAN	575	65391
8876	Q9MY08_HUMAN	73	8876
23417	V9GZ44_HUMAN	214	23417
67495	G3V3B0_HUMAN	582	67495
20679	Q19UJ0_HUMAN	182	20679
13520	M0R369_HUMAN	128	13520
16387	D6RAY9_HUMAN	140	16387
95758	G3V3E1_HUMAN	926	95758
19230	B4DNN8_HUMAN	195	19230
65572	A0A1U9X8U9_HUMAN	634	65572
16257	S4R3B0_HUMAN	149	16257
30894	G3V3I4_HUMAN	274	30894
20077	G3V3I9_HUMAN	177	20077
17071	Q9UFX5_HUMAN	165	17071
18107	A0A087WWT2_HUMAN	168	18107
11232	V9GYS6_HUMAN	101	11232
7144	L8E7P5_HUMAN	64	7144
16316	M0R2I0_HUMAN	143	16316
19059	D6RAQ1_HUMAN	168	19059
16432	Q6ZRK0_HUMAN	158	16432
11167	K7EM63_HUMAN	94	11167
18033	O43394_HUMAN	164	18033
11570	F8S0F6_HUMAN	112	11570
5929	H0YM97_HUMAN	54	5929
16635	I3L1A5_HUMAN	147	16635
14750	Q8WVX5_HUMAN	134	14750
190286	G3V3X5_HUMAN	1777	190286
25798	A0A125R6G7_HUMAN	224	25798
9686	I3L2W0_HUMAN	83	9686
49464	A0A5F9ZHR7_HUMAN	434	49464
143488	G3V419_HUMAN	1275	143488
11384	B4DH90_HUMAN	101	11384
8051	U5YF35_HUMAN	70	8051
83711	G3V483_HUMAN	736	83711
41630	G3V4F0_HUMAN	382	41630
18400	G3V4F4_HUMAN	159	18400
17411	I3L4A5_HUMAN	154	17411
45336	G3V4I0_HUMAN	407	45336
7613	L8E749_HUMAN	63	7613
59719	G3V4K3_HUMAN	519	59719
12514	A0A5C2G570_HUMAN	113	12514
10056	J3QQR1_HUMAN	93	10056
24917	G3V4Q5_HUMAN	232	24917
25068	R4TPV8_HUMAN	218	25068
33422	G3V4S9_HUMAN	300	33422
31320	G3V4T5_HUMAN	273	31320
24232	F5H0Q1_HUMAN	219	24232
18057	Q6P4I7_HUMAN	162	18057
26311	G3V4W5_HUMAN	237	26311
32398	G3V4Y2_HUMAN	284	32398
27025	H3BSA1_HUMAN	230	27025
7563	Q49A36_HUMAN	66	7563
189241	G3V511_HUMAN	1769	189241
10562	O19513_HUMAN	91	10562
23047	J3QLD5_HUMAN	208	23047
91481	G3V529_HUMAN	816	91481
83925	G3V533_HUMAN	732	83925
4971	Q9P0Z7_HUMAN	46	4971
14422	H0YCE4_HUMAN	125	14422
17913	Q7Z461_HUMAN	168	17913
19906	Q4G118_HUMAN	188	19906
14680	Q9HB99_HUMAN	132	14680
25257	A0A5A4M0Y9_HUMAN	220	25257
31093	H7BZB3_HUMAN	279	31093
23568	X6RIY5_HUMAN	207	23568
15729	Q9NWI5_HUMAN	140	15729
19154	B4DZL6_HUMAN	174	19154
9608	Q29777_HUMAN	79	9608
11691	Q8WYY3_HUMAN	111	11691
12976	M0QXK5_HUMAN	121	12976
16380	E9PLC9_HUMAN	148	16380
14309	I3L1Q0_HUMAN	126	14309
18671	G3V5H3_HUMAN	161	18671
96718	G3V5H7_HUMAN	937	96718
24139	Q8NH22_HUMAN	216	24139
99821	G3V5P6_HUMAN	929	99821
