diseaseid	disease_name	disease_class	disease_class_name	disease_semantic_type	hpo_name	do_name	source	num_genes	num_variants	num_diseases	type
C0085437	Meningitis, Bacterial	C01;C10	   Infections;    Nervous System Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	3	5	18	group
C0085652	Pyoderma Gangrenosum	C17	   Skin and Connective Tissue Diseases	Disease or Syndrome	Abnormality of the integument	disease of anatomical entity	GWASCAT	1	1	11	disease
C0085655	Polymyositis	C05;C10	   Musculoskeletal Diseases;    Nervous System Diseases	Disease or Syndrome			GWASCAT	2	2	49	disease
C0087031	Juvenile-Onset Still Disease	C17;C05;C20	   Skin and Connective Tissue Diseases;    Musculoskeletal Diseases;    Immune System Diseases	Disease or Syndrome			GWASCAT	27	41	195	disease
C0149516	Chronic sinusitis	C01;C08;C09	   Infections;    Respiratory Tract Diseases;    Otorhinolaryngologic Diseases	Disease or Syndrome	Abnormality of the immune system; Abnormality of head or neck; Abnormality of the skeletal system		GWASCAT	2	4	38	disease
C0149630	Bicuspid aortic valve	C14	   Cardiovascular Diseases	Congenital Abnormality	Abnormality of the cardiovascular system	disease of anatomical entity	GWASCAT	1	1	2	disease
C0149654	Conduct Disorder	F03	   Mental Disorders	Mental or Behavioral Dysfunction		disease of mental health	GWASCAT	3	8	15	disease
C0149678	Epstein-Barr Virus Infections	C01	   Infections	Disease or Syndrome			GWASCAT	11	17	103	group
C0149721	Left Ventricular Hypertrophy	C23;C14	   Pathological Conditions, Signs and Symptoms;    Cardiovascular Diseases	Disease or Syndrome	Abnormality of the cardiovascular system		GWASCAT	1	1	12	disease
C0149745	Oral Ulcer	C07	   Stomatognathic Diseases	Disease or Syndrome	Abnormality of head or neck		GWASCAT	50	94	222	disease
C0149756	Fasciitis, Plantar	C05	   Musculoskeletal Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	1	1	17	disease
C0149782	Squamous cell carcinoma of lung	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process	Neoplasm; Abnormality of the respiratory system	disease of anatomical entity; disease of cellular proliferation	GWASCAT	66	110	305	disease
C0149871	Deep Vein Thrombosis	C14	   Cardiovascular Diseases	Disease or Syndrome	Abnormality of blood and blood-forming tissues		GWASCAT	9	12	77	disease
C0149925	Small cell carcinoma of lung	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process	Neoplasm; Abnormality of the respiratory system	disease of anatomical entity; disease of cellular proliferation	GWASCAT	12	18	120	disease
C0149931	Migraine Disorders	C10	   Nervous System Diseases	Disease or Syndrome	Abnormality of the nervous system	disease of anatomical entity	GWASCAT	47	114	152	group
C0150045	Urge Incontinence	C23;C13;C12	   Pathological Conditions, Signs and Symptoms;    Female Urogenital Diseases and Pregnancy Complications;    Male Urogenital Diseases	Finding			GWASCAT	5	6	17	phenotype
C0151526	Premature Birth	C13	   Female Urogenital Diseases and Pregnancy Complications	Pathologic Function	Abnormality of prenatal development or birth		GWASCAT	7	10	38	phenotype
C0151544	Gastrointestinal carcinoma	C06;C04	   Digestive System Diseases;    Neoplasms	Neoplastic Process	Abnormality of the digestive system; Neoplasm		GWASCAT	1	3	9	disease
C0151636	Premature ventricular contractions	C23;C14	   Pathological Conditions, Signs and Symptoms;    Cardiovascular Diseases	Disease or Syndrome	Abnormality of the cardiovascular system		GWASCAT	1	2	20	phenotype
C0151779	Cutaneous Melanoma	C04;C17	   Neoplasms;    Skin and Connective Tissue Diseases	Neoplastic Process	Abnormality of the integument; Neoplasm	disease of anatomical entity; disease of cellular proliferation	GWASCAT	32	42	166	disease
C0152013	Adenocarcinoma of lung (disorder)	C04	   Neoplasms	Neoplastic Process	Neoplasm; Abnormality of the respiratory system	disease of anatomical entity; disease of cellular proliferation	GWASCAT	67	111	296	disease
C0152136	Low Tension Glaucoma	C11	   Eye Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	3	3	92	disease
C0152266	Mixed Cellularity Hodgkin Lymphoma	C04;C20;C15	   Neoplasms;    Immune System Diseases;    Hemic and Lymphatic Diseases	Neoplastic Process		disease of anatomical entity; disease of cellular proliferation	GWASCAT	3	2	43	disease
C0152268	Nodular Sclerosis Classical Hodgkin Lymphoma	C04;C20;C15	   Neoplasms;    Immune System Diseases;    Hemic and Lymphatic Diseases	Neoplastic Process		disease of anatomical entity; disease of cellular proliferation	GWASCAT	7	11	110	disease
C0153368	Malignant neoplasm of floor of mouth	C04;C07	   Neoplasms;    Stomatognathic Diseases	Neoplastic Process		disease of anatomical entity; disease of cellular proliferation	GWASCAT	9	13	133	disease
C0153369	Malignant neoplasm of anterior portion of floor of mouth	C04;C07	   Neoplasms;    Stomatognathic Diseases	Neoplastic Process		disease of anatomical entity; disease of cellular proliferation	GWASCAT	9	13	133	disease
C0153380	Malignant neoplasm of other specified parts of mouth	C04;C07	   Neoplasms;    Stomatognathic Diseases	Neoplastic Process			GWASCAT	9	13	133	disease
C0153381	Malignant neoplasm of mouth	C04;C07	   Neoplasms;    Stomatognathic Diseases	Neoplastic Process			GWASCAT	9	13	133	group
C0153382	Malignant neoplasm of oropharynx	C04;C07;C09	   Neoplasms;    Stomatognathic Diseases;    Otorhinolaryngologic Diseases	Neoplastic Process		disease of anatomical entity; disease of cellular proliferation	GWASCAT	4	5	48	disease
C0153389	malignant neoplasm of lateral wall of oropharynx	C04;C07;C09	   Neoplasms;    Stomatognathic Diseases;    Otorhinolaryngologic Diseases	Neoplastic Process		disease of anatomical entity; disease of cellular proliferation	GWASCAT	4	5	48	disease
C0153390	Malignant neoplasm of posterior wall of oropharynx	C04;C08;C07;C09	   Neoplasms;    Respiratory Tract Diseases;    Stomatognathic Diseases;    Otorhinolaryngologic Diseases	Neoplastic Process		disease of anatomical entity; disease of cellular proliferation	GWASCAT	4	5	48	disease
C0153407	Malignant neoplasm of other sites within the lip and oral cavity	C04;C07	   Neoplasms;    Stomatognathic Diseases	Neoplastic Process			GWASCAT	9	13	133	disease
C0153535	Malignant melanoma of skin of upper limb	C04;C17	   Neoplasms;    Skin and Connective Tissue Diseases	Neoplastic Process			GWASCAT	32	42	166	disease
C0153536	Malignant melanoma of skin of lower limb	C04;C17	   Neoplasms;    Skin and Connective Tissue Diseases	Neoplastic Process			GWASCAT	32	42	166	disease
C0154754	Hereditary and idiopathic neuropathy, unspecified	C10	   Nervous System Diseases	Disease or Syndrome			GWASCAT	3	6	12	disease
C0154778	Myopia, Degenerative	C11	   Eye Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	26	56	102	disease
C0154830	Proliferative diabetic retinopathy	C23;C11;C19;C14	   Pathological Conditions, Signs and Symptoms;    Eye Diseases;    Endocrine System Diseases;    Cardiovascular Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	16	30	131	disease
C0155567	Rheumatic aortic stenosis	C01;C14	   Infections;    Cardiovascular Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	4	5	38	disease
C0155883	Chronic obstructive asthma (with obstructive pulmonary disease)	C08;C20	   Respiratory Tract Diseases;    Immune System Diseases	Disease or Syndrome			GWASCAT	1	1	20	disease
C0155922	Tooth development and eruption disorder	F03;C07	   Mental Disorders;    Stomatognathic Diseases	Disease or Syndrome			GWASCAT	5	8	57	disease
C0156257	Calculus of kidney and ureter	C23;C13;C12	   Pathological Conditions, Signs and Symptoms;    Female Urogenital Diseases and Pregnancy Complications;    Male Urogenital Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	2	3	23	phenotype
C0158266	Intervertebral Disc Degeneration	C05	   Musculoskeletal Diseases	Disease or Syndrome	Abnormality of the skeletal system	disease of anatomical entity	GWASCAT	3	16	36	disease
C0158360	Fibromatosis, Plantar	C04;C17;C05	   Neoplasms;    Skin and Connective Tissue Diseases;    Musculoskeletal Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	1	1	17	disease
C0158611	Other congenital anomalies of heart	C16;C14	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Cardiovascular Diseases	Congenital Abnormality			GWASCAT	1	2	27	group
C0162311	Androgenetic Alopecia	C23;C17	   Pathological Conditions, Signs and Symptoms;    Skin and Connective Tissue Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	39	104	171	disease
C0162534	Prion Diseases	C01;C10	   Infections;    Nervous System Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	2	2	21	group
C0162538	Immunoglobulin A deficiency (disorder)	C20;C15	   Immune System Diseases;    Hemic and Lymphatic Diseases	Disease or Syndrome	Abnormality of metabolism/homeostasis; Abnormality of the immune system; Abnormal cellular phenotype	genetic disease; disease of anatomical entity	GWASCAT	11	19	99	disease
C0162701	Polysomnography			Diagnostic Procedure			GWASCAT	4	7	15	phenotype
C0162871	Aortic Aneurysm, Abdominal	C14	   Cardiovascular Diseases	Disease or Syndrome	Abnormality of the cardiovascular system	disease of anatomical entity	GWASCAT	10	18	124	disease
C0162872	Aortic Aneurysm, Thoracic	C14	   Cardiovascular Diseases	Disease or Syndrome	Abnormality of the cardiovascular system	disease of anatomical entity	GWASCAT	4	5	74	disease
C0200633	Neutrophil count (procedure)			Laboratory Procedure			GWASCAT	145	234	349	phenotype
C0200635	Lymphocyte Count measurement			Laboratory Procedure			GWASCAT	130	199	328	phenotype
C0200637	Monocyte count procedure			Laboratory Procedure			GWASCAT	139	296	308	phenotype
C0200638	Eosinophil count procedure			Laboratory Procedure			GWASCAT	607	1133	510	phenotype
C0200641	Blood basophil count (lab test)			Laboratory Procedure			GWASCAT	272	452	418	phenotype
C0200665	Platelet mean volume determination (procedure)			Laboratory Procedure			GWASCAT	213	339	335	phenotype
C0200695	Fetal hemoglobin determination			Laboratory Procedure			GWASCAT	7	27	39	phenotype
C0201278	Antibody measurement (procedure)			Laboratory Procedure			GWASCAT	5	8	87	group
C0201512	Thyroglobulin antibody measurement			Laboratory Procedure			GWASCAT	10	17	31	phenotype
C0201534	Antiphospholipid antibodies measurement			Laboratory Procedure			GWASCAT	6	8	43	phenotype
C0201544	Prostate specific antigen measurement			Laboratory Procedure			GWASCAT	25	67	150	phenotype
C0201657	C-reactive protein measurement			Laboratory Procedure			GWASCAT	100	250	348	phenotype
C0201836	Alanine aminotransferase measurement			Laboratory Procedure			GWASCAT	41	77	200	phenotype
C0201850	Alkaline phosphatase measurement			Laboratory Procedure			GWASCAT	42	79	221	phenotype
C0201874	Amino acids measurement			Laboratory Procedure			GWASCAT	53	92	173	group
C0201896	Arylsulfatase B measurement			Laboratory Procedure			GWASCAT	1	2	3	phenotype
C0201899	Aspartate aminotransferase measurement			Laboratory Procedure			GWASCAT	57	76	196	phenotype
C0201910	Beta-2-microglobulin measurement			Laboratory Procedure			GWASCAT	6	7	167	phenotype
C0201925	Calcium measurement			Laboratory Procedure			GWASCAT	17	31	119	phenotype
C0201952	Chloride measurement			Laboratory Procedure			GWASCAT	16	19	138	phenotype
C0201968	Cortisol Measurement			Laboratory Procedure			GWASCAT	12	16	71	phenotype
C0201973	Creatine kinase measurement			Laboratory Procedure			GWASCAT	28	50	120	phenotype
C0201976	Creatinine measurement, serum (procedure)			Laboratory Procedure			GWASCAT	124	243	325	phenotype
C0201983	Dehydroepiandrosterone sulfate measurement (procedure)			Laboratory Procedure			GWASCAT	18	27	66	phenotype
C0202022	Follicle stimulating hormone measurement			Laboratory Procedure			GWASCAT	5	8	25	phenotype
C0202025	Fructosamine measurement			Laboratory Procedure			GWASCAT	1	2	2	phenotype
C0202071	Homovanillic acid measurement			Laboratory Procedure			GWASCAT	1	7	11	phenotype
C0202075	17 Hydroxyprogesterone measurement			Laboratory Procedure			GWASCAT	7	19	129	phenotype
C0202098	Insulin measurement			Laboratory Procedure			GWASCAT	15	25	100	phenotype
C0202100	Insulin C-peptide measurement			Laboratory Procedure			GWASCAT	3	7	116	phenotype
C0202105	Transferrin measurement			Laboratory Procedure			GWASCAT	6	10	104	phenotype
C0202115	Lactic acid measurement			Laboratory Procedure			GWASCAT	1	2	78	phenotype
C0202117	Low density lipoprotein cholesterol measurement			Laboratory Procedure			GWASCAT	295	731	426	phenotype
C0202123	Luteinizing hormone measurement			Laboratory Procedure			GWASCAT	1	5	21	phenotype
C0202159	Parathyroid hormone measurement			Laboratory Procedure			GWASCAT	10	15	49	phenotype
C0202171	Phosphatidylinositol measurement			Laboratory Procedure			GWASCAT	4	6	74	phenotype
C0202174	blood phenylalanine measurement by Guthrie microbiologic assay			Laboratory Procedure			GWASCAT	4	7	24	phenotype
C0202177	Phospholipid measurement			Laboratory Procedure			GWASCAT	30	60	159	phenotype
C0202178	Phosphorus measurement			Laboratory Procedure			GWASCAT	9	15	26	phenotype
C0202194	Potassium measurement			Laboratory Procedure			GWASCAT	16	28	86	phenotype
C0202202	Protein measurement			Laboratory Procedure			GWASCAT	62	74	242	group
C0202218	Sex hormone binding globulin measurement			Laboratory Procedure			GWASCAT	11	21	126	phenotype
C0202230	Thyroid stimulating hormone measurement			Laboratory Procedure			GWASCAT	39	75	191	phenotype
C0202231	Thyroxine measurement			Laboratory Procedure			GWASCAT	24	42	88	phenotype
C0202236	Triglycerides measurement			Laboratory Procedure			GWASCAT	324	837	468	phenotype
C0202239	Uric acid measurement (procedure)			Laboratory Procedure			GWASCAT	254	550	409	phenotype
C0202251	Vitamin B6 measurement			Laboratory Procedure			GWASCAT	5	11	7	phenotype
C0202252	VITAMIN B12 MEASUREMENT			Laboratory Procedure			GWASCAT	8	15	56	phenotype
C0202363	Cotinine measurement			Laboratory Procedure			GWASCAT	1	2	10	phenotype
C0202455	Platinum measurement			Laboratory Procedure			GWASCAT	6	7	16	phenotype
C0205682	Waist-Hip Ratio			Organism Attribute			GWASCAT	562	1128	514	phenotype
C0206062	Lung Diseases, Interstitial	C08	   Respiratory Tract Diseases	Disease or Syndrome	Abnormality of the respiratory system	disease of anatomical entity	GWASCAT	12	15	94	group
C0206161	Reticulocyte count (procedure)			Laboratory Procedure			GWASCAT	234	474	397	phenotype
C0206172	Diabetic Foot	C17;C19;C14	   Skin and Connective Tissue Diseases;    Endocrine System Diseases;    Cardiovascular Diseases	Disease or Syndrome			GWASCAT	3	5	12	disease
C0206368	Exfoliation Syndrome	C11	   Eye Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	4	6	10	disease
C0206698	Cholangiocarcinoma	C04	   Neoplasms	Neoplastic Process	Abnormality of the digestive system; Neoplasm	disease of anatomical entity; disease of cellular proliferation	GWASCAT	3	2	16	disease
C0206710	Basal Cell Neoplasm	C04	   Neoplasms	Neoplastic Process		disease of anatomical entity; disease of cellular proliferation	GWASCAT	55	109	251	disease
C0220633	Uveal melanoma	C04;C11	   Neoplasms;    Eye Diseases	Neoplastic Process	Neoplasm; Abnormality of the eye	disease of anatomical entity; disease of cellular proliferation	GWASCAT	6	9	58	disease
C0231749	Knee pain	C23;C05	   Pathological Conditions, Signs and Symptoms;    Musculoskeletal Diseases	Sign or Symptom	Constitutional symptom		GWASCAT	1	4	13	phenotype
C0233514	Abnormal behavior	F01	   Behavior and Behavior Mechanisms	Mental or Behavioral Dysfunction	Abnormality of the nervous system		GWASCAT	1	1	20	phenotype
C0233794	Memory impairment	C23;C10;F01	   Pathological Conditions, Signs and Symptoms;    Nervous System Diseases;    Behavior and Behavior Mechanisms	Mental or Behavioral Dysfunction	Abnormality of the nervous system	disease of mental health	GWASCAT	1	2	6	phenotype
C0233849	Personality Traits	F01	   Behavior and Behavior Mechanisms	Finding			GWASCAT	9	13	34	group
C0234985	Mental deterioration	F03	   Mental Disorders	Mental or Behavioral Dysfunction	Abnormality of the nervous system		GWASCAT	5	8	47	phenotype
C0235280	Ototoxicity	C23;C10;C25;C09	   Pathological Conditions, Signs and Symptoms;    Nervous System Diseases;    Chemically-Induced Disorders;    Otorhinolaryngologic Diseases	Pathologic Function			GWASCAT	4	6	8	disease
C0235974	Pancreatic carcinoma	C06;C04;C19	   Digestive System Diseases;    Neoplasms;    Endocrine System Diseases	Neoplastic Process		disease of anatomical entity; disease of cellular proliferation	GWASCAT	42	72	196	disease
C0236379	ESTRONE MEASUREMENT			Laboratory Procedure			GWASCAT	5	7	30	phenotype
C0236663	Alcohol withdrawal syndrome	C25;F03	   Chemically-Induced Disorders;    Mental Disorders	Disease or Syndrome			GWASCAT	1	1	9	disease
C0236664	Alcohol-Related Disorders	C25;F03	   Chemically-Induced Disorders;    Mental Disorders	Mental or Behavioral Dysfunction		disease of mental health	GWASCAT	45	85	203	group
C0236733	Amphetamine-Related Disorders	C25;F03	   Chemically-Induced Disorders;    Mental Disorders	Mental or Behavioral Dysfunction		disease of mental health	GWASCAT	3	3	30	group
C0236773	Depressed bipolar I disorder	F03	   Mental Disorders	Mental or Behavioral Dysfunction		disease of mental health	GWASCAT	37	59	179	disease
C0236969	Substance-Related Disorders	C25;F03	   Chemically-Induced Disorders;    Mental Disorders	Mental or Behavioral Dysfunction		disease of mental health	GWASCAT	4	18	19	group
C0236970	Alcohol-Induced Disorders	C25	   Chemically-Induced Disorders	Disease or Syndrome		disease of mental health	GWASCAT	45	85	203	group
C0238067	Colitis, Collagenous	C06	   Digestive System Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	2	1	38	disease
C0238159	Hemoglobin E disease	C16;C15	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Hemic and Lymphatic Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	3	3	19	disease
C0238463	Papillary thyroid carcinoma	C04;C19	   Neoplasms;    Endocrine System Diseases	Neoplastic Process	Abnormality of the endocrine system; Neoplasm	disease of anatomical entity; disease of cellular proliferation	GWASCAT	5	8	46	disease
C0241910	Autoimmune Chronic Hepatitis	C06;C20	   Digestive System Diseases;    Immune System Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	5	3	149	disease
C0242216	Biliary calculi	C23;C06	   Pathological Conditions, Signs and Symptoms;    Digestive System Diseases	Body Substance			GWASCAT	30	31	192	phenotype
C0242350	Erectile dysfunction	C12;F03	   Male Urogenital Diseases;    Mental Disorders	Disease or Syndrome	Abnormality of the genitourinary system	disease of mental health	GWASCAT	6	13	25	disease
C0242383	Age related macular degeneration	C11	   Eye Diseases	Disease or Syndrome		genetic disease; disease of anatomical entity	GWASCAT	62	123	220	disease
C0243026	Sepsis	C23;C01	   Pathological Conditions, Signs and Symptoms;    Infections	Disease or Syndrome		disease by infectious agent	GWASCAT	3	5	49	disease
C0262478	Wrinkled face			Finding	Abnormality of the integument		GWASCAT	3	5	13	phenotype
C0263361	Psoriasis vulgaris	C17	   Skin and Connective Tissue Diseases	Disease or Syndrome			GWASCAT	28	35	187	disease
C0263912	Rotator cuff syndrome	C26	   Wounds and Injuries	Disease or Syndrome			GWASCAT	2	2	3	disease
C0264408	Childhood asthma	C08;C20	   Respiratory Tract Diseases;    Immune System Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	101	193	310	disease
C0265240	Goldenhar Syndrome	C16;C05	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Musculoskeletal Diseases	Disease or Syndrome		genetic disease; disease of anatomical entity; syndrome	GWASCAT	6	11	52	disease
C0265534	Scaphycephaly	C16;C05	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Musculoskeletal Diseases	Congenital Abnormality	Abnormality of head or neck; Abnormality of the skeletal system		GWASCAT	1	2	14	disease
C0268381	Primary amyloidosis	C04;C18;C20	   Neoplasms;    Nutritional and Metabolic Diseases;    Immune System Diseases	Disease or Syndrome		disease of anatomical entity; disease of cellular proliferation	GWASCAT	6	8	21	disease
C0268446	Thyrotoxic periodic paralysis	C16;C18;C05;C10	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Nutritional and Metabolic Diseases;    Musculoskeletal Diseases;    Nervous System Diseases	Disease or Syndrome			GWASCAT	3	16	8	disease
C0270496	Schizoaffective disorder, bipolar type	F03	   Mental Disorders	Mental or Behavioral Dysfunction			GWASCAT	7	10	32	disease
C0270736	Essential Tremor	C10	   Nervous System Diseases	Disease or Syndrome	Abnormality of the nervous system	disease of anatomical entity	GWASCAT	7	10	33	disease
C0270853	Juvenile Myoclonic Epilepsy	C10	   Nervous System Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	1	1	1	disease
C0270911	Charcot-Marie-Tooth Disease, Type Ia (disorder)	C16;C10	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Nervous System Diseases	Disease or Syndrome		genetic disease; disease of anatomical entity	GWASCAT	5	10	32	disease
C0271055	Rhegmatogenous retinal detachment	C11	   Eye Diseases	Disease or Syndrome	Abnormality of the eye		GWASCAT	1	1	3	disease
C0271084	Exudative age-related macular degeneration	C11	   Eye Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	46	69	186	disease
C0272178	Drug-induced neutropenia	C15	   Hemic and Lymphatic Diseases	Disease or Syndrome	Abnormality of the immune system; Abnormality of blood and blood-forming tissues		GWASCAT	34	54	170	disease
C0274294	Chronic mountain sickness	C23;C08	   Pathological Conditions, Signs and Symptoms;    Respiratory Tract Diseases	Disease or Syndrome			GWASCAT	1	1	2	disease
C0278701	Gastric Adenocarcinoma	C06;C04	   Digestive System Diseases;    Neoplasms	Neoplastic Process		disease of anatomical entity; disease of cellular proliferation	GWASCAT	3	2	33	disease
C0278704	Malignant Childhood Neoplasm	C04	   Neoplasms	Neoplastic Process			GWASCAT	6	14	26	disease
C0278996	Malignant Head and Neck Neoplasm	C04	   Neoplasms	Neoplastic Process	Neoplasm		GWASCAT	2	4	27	disease
C0279626	Squamous cell carcinoma of esophagus	C06;C04	   Digestive System Diseases;    Neoplasms	Neoplastic Process		disease of anatomical entity; disease of cellular proliferation	GWASCAT	8	9	127	disease
C0279628	Adenocarcinoma Of Esophagus	C06;C04	   Digestive System Diseases;    Neoplasms	Neoplastic Process		disease of anatomical entity; disease of cellular proliferation	GWASCAT	15	33	88	disease
C0280324	Laryngeal Squamous Cell Carcinoma	C04;C08;C09	   Neoplasms;    Respiratory Tract Diseases;    Otorhinolaryngologic Diseases	Neoplastic Process		disease of anatomical entity; disease of cellular proliferation	GWASCAT	3	6	75	disease
C0302274	Glutamine measurement			Laboratory Procedure			GWASCAT	5	5	21	phenotype
C0302592	Cervix carcinoma	C04;C13	   Neoplasms;    Female Urogenital Diseases and Pregnancy Complications	Neoplastic Process		disease of anatomical entity; disease of cellular proliferation	GWASCAT	12	18	61	disease
C0333188	Stricture obstruction	C23	   Pathological Conditions, Signs and Symptoms	Anatomical Abnormality			GWASCAT	1	1	15	phenotype
C0333189	Cicatricial stenosis	C23	   Pathological Conditions, Signs and Symptoms	Acquired Abnormality			GWASCAT	1	1	15	phenotype
C0333190	Fibrous stenosis	C23	   Pathological Conditions, Signs and Symptoms	Anatomical Abnormality			GWASCAT	1	1	15	phenotype
C0337428	Fibrinogen assay			Laboratory Procedure			GWASCAT	52	116	214	phenotype
C0337432	Androstenedione measurement			Laboratory Procedure			GWASCAT	5	9	28	phenotype
C0337434	Estradiol measurement			Laboratory Procedure			GWASCAT	12	33	61	phenotype
C0337437	Glucagon measurement			Laboratory Procedure			GWASCAT	2	2	23	phenotype
C0337438	Glucose measurement			Laboratory Procedure			GWASCAT	42	69	269	phenotype
C0337443	Sodium measurement			Laboratory Procedure			GWASCAT	42	69	196	phenotype
C0337445	Thyroglobulin measurement			Laboratory Procedure			GWASCAT	1	2	8	phenotype
C0337446	Tyrosine measurement			Laboratory Procedure			GWASCAT	4	11	28	phenotype
C0338451	Frontotemporal dementia	C18;C10;F03	   Nutritional and Metabolic Diseases;    Nervous System Diseases;    Mental Disorders	Disease or Syndrome	Abnormality of the nervous system	genetic disease; disease of anatomical entity; disease of mental health	GWASCAT	14	23	41	disease
C0338480	Common Migraine	C10	   Nervous System Diseases	Disease or Syndrome	Abnormality of the nervous system	disease of anatomical entity	GWASCAT	6	9	61	disease
C0338656	Impaired cognition	F03	   Mental Disorders	Mental or Behavioral Dysfunction	Abnormality of the nervous system		GWASCAT	41	100	134	disease
C0339471	Maculopathy with diabetes mellitus	C11;C19;C14	   Eye Diseases;    Endocrine System Diseases;    Cardiovascular Diseases	Disease or Syndrome			GWASCAT	7	10	49	disease
C0339682	Regular astigmatism - corneal	C11	   Eye Diseases	Disease or Syndrome	Abnormality of the eye		GWASCAT	13	22	108	disease
C0341106	Eosinophilic esophagitis	C06;C20;C15	   Digestive System Diseases;    Immune System Diseases;    Hemic and Lymphatic Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	21	31	114	disease
C0343386	Clostridium difficile infection	C01	   Infections	Disease or Syndrome			GWASCAT	4	9	19	disease
C0344395	Bilirubin measurement			Laboratory Procedure			GWASCAT	46	100	152	phenotype
C0346163	Endometrioid carcinoma ovary	C04;C13;C19	   Neoplasms;    Female Urogenital Diseases and Pregnancy Complications;    Endocrine System Diseases	Neoplastic Process		disease of anatomical entity; disease of cellular proliferation	GWASCAT	19	31	218	disease
C0346388	Malignant melanoma of choroid	C04;C11	   Neoplasms;    Eye Diseases	Neoplastic Process	Neoplasm; Abnormality of the eye	disease of anatomical entity; disease of cellular proliferation	GWASCAT	2	3	9	disease
C0346629	Malignant neoplasm of large intestine	C06;C04	   Digestive System Diseases;    Neoplasms	Neoplastic Process		disease of anatomical entity; disease of cellular proliferation	GWASCAT	165	368	350	disease
C0347071	Malignant neoplasm of other and unspecified sites	C04	   Neoplasms	Neoplastic Process			GWASCAT	2	2	8	group
C0349141	Mental and behavioral disorders due to use of cocaine, unspecified mental and behavioral disorder			Mental or Behavioral Dysfunction			GWASCAT	3	4	18	group
C0349198	Acute transient psychotic disorder	C23;F03	   Pathological Conditions, Signs and Symptoms;    Mental Disorders	Mental or Behavioral Dysfunction			GWASCAT	4	9	40	disease
C0349782	Ischemic cardiomyopathy	C14	   Cardiovascular Diseases	Disease or Syndrome			GWASCAT	3	3	8	disease
C0373598	Dehydroepiandrosterone Assay			Laboratory Procedure			GWASCAT	1	1	8	phenotype
C0373601	Dihydrotestosterone Assay			Laboratory Procedure			GWASCAT	1	2	5	phenotype
C0373607	Ferritin measurement			Laboratory Procedure			GWASCAT	10	21	50	phenotype
C0373675	Magnesium measurement			Laboratory Procedure			GWASCAT	7	16	66	phenotype
C0373680	Myoglobin measurement			Laboratory Procedure			GWASCAT	1	1	2	phenotype
C0373705	Progesterone measurement			Laboratory Procedure			GWASCAT	8	11	49	phenotype
C0373721	Selenium measurement			Laboratory Procedure			GWASCAT	7	17	13	phenotype
C0373745	Vitamin A measurement			Laboratory Procedure			GWASCAT	1	2	3	phenotype
C0376670	Pancreatitis, Alcoholic	C06;C25	   Digestive System Diseases;    Chemically-Induced Disorders	Disease or Syndrome		disease of anatomical entity	GWASCAT	24	78	16	disease
C0376705	Viral Load result			Finding			GWASCAT	65	91	142	phenotype
C0392514	Hereditary hemochromatosis	C16;C18	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Nutritional and Metabolic Diseases	Disease or Syndrome		genetic disease; disease of metabolism	GWASCAT	1	1	18	disease
C0392525	Nephrolithiasis	C13;C12	   Female Urogenital Diseases and Pregnancy Complications;    Male Urogenital Diseases	Disease or Syndrome	Abnormality of the genitourinary system	disease of anatomical entity	GWASCAT	2	3	23	disease
C0392885	High density lipoprotein measurement			Laboratory Procedure			GWASCAT	353	951	442	phenotype
C0393570	Corticobasal degeneration	C10	   Nervous System Diseases	Disease or Syndrome			GWASCAT	6	5	40	disease
C0393571	Multiple System Atrophy	C10	   Nervous System Diseases	Pathologic Function		disease of anatomical entity	GWASCAT	3	6	20	phenotype
C0399352	Developmental absence of tooth	C16;C07	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Stomatognathic Diseases	Congenital Abnormality	Abnormality of head or neck	disease of anatomical entity	GWASCAT	5	8	57	disease
