	ComplexID	ComplexName	GO ID	GO description	NumSubunits
1690	6067	ESR1-SP1 complex	None	None	2
1691	6068	ESR1-CEBPB complex	None	None	2
1692	6069	ESR1-GRIP1 complex	None	None	2
1693	6072	TRA2B1-SRSF9-SRSF6 complex	GO:0043484;GO:0048024	regulation of RNA splicing;regulation of mRNA splicing, via spliceosome	3
1694	6073	SRSF9-SRSF6 complex	GO:0043484;GO:0048024	regulation of RNA splicing;regulation of mRNA splicing, via spliceosome	2
1695	6075	CST complex	GO:0003697;GO:0000723	single-stranded DNA binding;telomere maintenance	3
1696	6076	c-Abl-cortactin-nmMLCK complex	GO:0007010;GO:0061028	cytoskeleton organization;establishment of endothelial barrier	3
1697	6078	ACR-HSPA2-PDIA6 complex	GO:0060046	regulation of acrosome reaction	3
1698	6079	BAG6-HSPA2 complex	GO:0007283;GO:1903332	spermatogenesis;regulation of protein folding	2
1699	6080	ACAP1-CLTC-SLC2A4 complex	GO:0032456	endocytic recycling	3
1700	6083	CART complex	GO:0004998;GO:0001881;GO:0032456	transferrin receptor activity;receptor recycling;endocytic recycling	4
1701	6084	AFF4 super elongation complex (SEC)	GO:0006354	DNA-templated transcription elongation	11
1702	6085	MCPIP1-MCPIP4 complex	GO:0006954	inflammatory response	2
1703	6087	ERbeta-AR complex	GO:0006355	regulation of DNA-templated transcription	2
1704	6088	Seipin-AGPAT2 complex	GO:1904177;GO:0008610	regulation of adipose tissue development;lipid biosynthetic process	2
1705	6089	Seipin-AGPAT2-lipin1 complex	GO:1904177;GO:0008610	regulation of adipose tissue development;lipid biosynthetic process	3
1706	6090	Seipin-lipin1 complex	None	None	2
1707	6091	NF-YA-LaminA complex	GO:0007049;GO:0008283	cell cycle;cell population proliferation	2
1708	6092	c-Jun-ATF3 complex	GO:0006355	regulation of DNA-templated transcription	2
1709	6095	PLEKHA7-PDZD11 complex	GO:0005912	adherens junction	2
1710	6096	alphaB-crystallin-Nav1.5 complex	GO:1905150;GO:0031396	regulation of voltage-gated sodium channel activity;regulation of protein ubiquitination	2
1711	6097	MEF2-NR2F2 complex	GO:0019218	regulation of steroid metabolic process	2
1712	6103	proMBP-angiotensinogen complex	GO:0008217;GO:0007565	regulation of blood pressure;female pregnancy	2
1713	6104	PAPP-A-proMBP complex	GO:0007565	female pregnancy	2
1714	6107	proMBP-angiotensinogen-c3dg complex	GO:0008217;GO:0007565	regulation of blood pressure;female pregnancy	3
1715	6108	STIM1-TRPV4 complex	GO:0051924	regulation of calcium ion transport	2
1716	6109	FHF complex	GO:0016192;GO:0006906;GO:0016197	vesicle-mediated transport;vesicle fusion;endosomal transport	5
1717	6111	protein phosphatase 2A C-subunit-synapsin complex	GO:0050804	modulation of chemical synaptic transmission	2
1718	6112	DGAT2-MGAT2 complex	GO:0019432	triglyceride biosynthetic process	2
1719	6114	BAG1-HSC70 complex	GO:0006457	protein folding	2
1720	6115	BAG1-HSP70 complex	GO:0006457	protein folding	2
1721	6116	Hook1-Vps16 complex	GO:0016197	endosomal transport	2
1722	6117	Hook1-Vps18 complex	GO:0016197	endosomal transport	2
1723	6118	Hook1-Vps39 complex	GO:0016197	endosomal transport	2
1724	6119	Hook1-Vps41 complex	GO:0016197	endosomal transport	2
1725	6120	Hook2-Vps16 complex	GO:0016197	endosomal transport	2
1726	6121	Hook2-Vps41 complex	GO:0016197	endosomal transport	2
1727	6122	Hook3-Vps16 complex	GO:0016197	endosomal transport	2
1728	6123	Hook3-Vps41 complex	GO:0016197	endosomal transport	2
1729	6124	FTS-Vps16 complex	GO:0016197	endosomal transport	2
1730	6125	FTS-Vps18 complex	GO:0016197	endosomal transport	2
1731	6126	FTS-Vps41 complex	GO:0016197	endosomal transport	2
1732	6127	DAXX-MDM2-USP7 complex	GO:0061136;GO:0005654;GO:0006281	regulation of proteasomal protein catabolic process;nucleoplasm;DNA repair	3
1733	6129	CBP80/20- dependent translation complex	GO:0070992;GO:0003743;GO:0048471	translation initiation complex;translation initiation factor activity;perinuclear region of cytoplasm	6
1734	6131	SELK multiprotein complex	GO:0030968;GO:0036503	endoplasmic reticulum unfolded protein response;ERAD pathway	10
1735	6132	MICOS subcomplex (CHCHD3, IMMT, MICOS10), mitochondrial	GO:0007007;GO:0061617;GO:0042407	inner mitochondrial membrane organization;MICOS complex;cristae formation	3
1736	6133	RFX5-RFXANK-RFXAP complex	GO:0003700	DNA-binding transcription factor activity	3
1737	6134	Rs1 homooctamer complex	GO:0007601;GO:0010842;GO:0016062;GO:0007155	visual perception;retina layer formation;adaptation of rhodopsin mediated signaling;cell adhesion	1
1738	6135	Ferritin complex	GO:0006879;GO:0006955;GO:0006826	cellular iron ion homeostasis;immune response;iron ion transport	2
1739	6136	USP7-MAGEL2-TRIM27 complex	GO:0016197	endosomal transport	3
1740	6137	GM-CSF receptor complex	GO:0038158;GO:0004896	granulocyte colony-stimulating factor signaling pathway;cytokine receptor activity	3
1741	6140	Cdt1-Geminin complex	GO:0006275	regulation of DNA replication	2
1742	6141	CSE1L-KPNA2-RAN complex	GO:0006913;GO:0005634;GO:0015031;GO:0005737;GO:0006611;GO:0055085	nucleocytoplasmic transport;nucleus;protein transport;cytoplasm;protein export from nucleus;transmembrane transport	3
1743	6142	KPNA2-KPNB1 complex	GO:0005634;GO:0005737;GO:0006606	nucleus;cytoplasm;protein import into nucleus	2
1744	6143	KPNB1-RAN complex	GO:0006913;GO:0006611;GO:0005634;GO:0005737;GO:0055085	nucleocytoplasmic transport;protein export from nucleus;nucleus;cytoplasm;transmembrane transport	2
1745	6144	CENP-T-W complex	GO:0007059;GO:0003677;GO:0051382	chromosome segregation;DNA binding;kinetochore assembly	2
1746	6145	CENP-S-X complex	GO:0007059;GO:0003677;GO:0051382	chromosome segregation;DNA binding;kinetochore assembly	2
1747	6146	CENP-T-W-S-X heterotetramer complex	GO:0051382;GO:0003677;GO:0007059	kinetochore assembly;DNA binding;chromosome segregation	4
1748	6147	BAFL-BAF-LAP2beta complex	GO:0005634;GO:0006325	nucleus;chromatin organization	3
1749	6148	BAFL-BAF complex	GO:0005634;GO:0006325	nucleus;chromatin organization	2
1750	6149	Codanin-1-Asf1\u2013histone H3.1-histone H4\u2013importin-4 complex,  cytosolic	GO:0006260;GO:0017038;GO:0006325	DNA replication;protein import;chromatin organization	5
1751	6153	PRKAA2-PRKAB2-PRKAG3 complex	GO:0004679;GO:0043501	AMP-activated protein kinase activity;skeletal muscle adaptation	3
1752	6154	PRKAA1-PRKAB2-PRKAG1 complex	GO:0004679	AMP-activated protein kinase activity	3
1753	6155	PRKAA2-PRKAB2-PRKAG1 complex	GO:0004679;GO:0043501	AMP-activated protein kinase activity;skeletal muscle adaptation	3
1754	6158	TRIAL-DR5 complex	GO:0006915	apoptotic process	2
1755	6159	LPP-PPP2CA-PPP2R3A complex	GO:0005925	focal adhesion	3
1756	6160	hTREX84 complex	GO:0006406	mRNA export from nucleus	6
1757	6163	BBSome	GO:0044782;GO:0042073;GO:0005929;GO:0060271;GO:0060170;GO:0097733;GO:0007601	cilium organization;intraciliary transport;cilium;cilium assembly;ciliary membrane;photoreceptor cell cilium;visual perception	8
1758	6164	ACK1 signaling complex	GO:0023052	signaling	4
1759	6165	BBSome core complex	GO:0005929	cilium	4
1760	6166	BBSome linker complex	GO:0005929	cilium	3
1761	6167	Exocyst complex	GO:0099022;GO:0006887;GO:0060271	vesicle tethering;exocytosis;cilium assembly	8
1762	6168	Exocyst EXOC5-EXOC6 subcomplex	GO:0006887	exocytosis	2
1763	6169	Exocyst EXOC5-EXOC6-EXOC7 subcomplex	GO:0006887	exocytosis	3
1764	6170	Angiogenin-PRI complex	GO:0045765	regulation of angiogenesis	2
1765	6173	Intraflagellar transport complex B core complex	GO:0005929;GO:0042073	cilium;intraciliary transport	10
1766	6175	Caspase-10-SUMO-FADD/Drp1 complex	GO:0070266;GO:0005739	necroptotic process;mitochondrion	3
1767	6176	CDCP1-Src-EGFR complex	GO:0007173	epidermal growth factor receptor signaling pathway	3
1768	6178	LUBAC complex	GO:0050727;GO:0043122;GO:0010941;GO:0097039;GO:0032434;GO:0039535;GO:0045087	regulation of inflammatory response;regulation of I-kappaB kinase/NF-kappaB signaling;regulation of cell death;protein linear polyubiquitination;regulation of proteasomal ubiquitin-dependent protein catabolic process;regulation of RIG-I signaling pathway;innate immune response	3
1769	6180	PPP2R1A-PPP2R3B complex	GO:0006470	protein dephosphorylation	2
1770	6182	PP2A A/C-striatin complex	GO:0006470;GO:0019722	protein dephosphorylation;calcium-mediated signaling	3
1771	6183	PP2A A/C-SG2NA complex	GO:0006470;GO:0019722	protein dephosphorylation;calcium-mediated signaling	3
1772	6184	AuroraB-AuroraC-INCENP complex	GO:0050821	protein stabilization	3
1773	6185	GNAI1-GPSM2-SAPCD2 complex	GO:0000132;GO:0008356	establishment of mitotic spindle orientation;asymmetric cell division	3
1774	6186	ArPIKfyve-Sac3-Sph1 complex	GO:0050821	protein stabilization	3
1775	6187	STIP-USP7-Mdm2 complex	GO:0050821	protein stabilization	3
1776	6188	STIP-USP7-p53 complex	GO:0050821;GO:0005654	protein stabilization;nucleoplasm	3
1777	6189	ArgRS-GlnRS-AIMP1 complex	GO:0006418;GO:0017101	tRNA aminoacylation for protein translation;aminoacyl-tRNA synthetase multienzyme complex	3
1778	6190	p38gamma-Hsp90-K-Ras complex	GO:0001558	regulation of cell growth	3
1779	6191	IGF2-IGFBP2 complex	GO:0045667;GO:0008201	regulation of osteoblast differentiation;heparin binding	2
1780	6192	CHDH-SQSTM1-MAP1LC3 complex	GO:1904925	positive regulation of autophagy of mitochondrion in response to mitochondrial depolarization	3
1781	6193	ADAM12-alphaVbeta3-integrin-MMP-14 complex	GO:0042981	regulation of apoptotic process	4
1782	6194	B-WICH complex	GO:0003682;GO:0005634;GO:0006383	chromatin binding;nucleus;transcription by RNA polymerase III	8
1783	6195	Stargazin-AP-2-AP-3a complex	GO:2000311	regulation of AMPA receptor activity	3
1784	6196	Stargazin-Glu1-mu2 complex	GO:2000311	regulation of AMPA receptor activity	3
1785	6197	Stargazin-Glu1-mu3 complex	GO:2000311	regulation of AMPA receptor activity	3
1786	6198	Stargazin-Glu2A-mu2 complex	GO:2000311	regulation of AMPA receptor activity	3
1787	6199	Stargazin-Glu2A-mu3 complex	GO:2000311	regulation of AMPA receptor activity	3
1788	6203	TFAP2C-Myc-KDM5B complex	GO:0010564	regulation of cell cycle process	3
1789	6206	ICAT-AR-beta-catenin complex	GO:0030111;GO:0051090	regulation of Wnt signaling pathway;regulation of DNA-binding transcription factor activity	3
1790	6208	PNP homotrimer complex	GO:0042278;GO:0004731	purine nucleoside metabolic process;purine-nucleoside phosphorylase activity	1
1791	6209	MT1-G(i)-RGS20 complex	GO:0007187	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	3
1792	6210	MT1-MT2 complex	GO:0007187	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	2
1793	6211	RSG20-MT1-MT2 complex	GO:1901979	regulation of inward rectifier potassium channel activity	3
1794	6212	GM130-GRASP65 complex	None	None	2
1795	6213	DOCK8-WIP-WASp complex	GO:0015629;GO:0042608;GO:0000910;GO:0001771;GO:0072678	actin cytoskeleton;T cell receptor binding;cytokinesis;immunological synapse formation;T cell migration	3
1796	6215	GATOR1 complex	GO:1903832;GO:1904262;GO:0005096	regulation of cellular response to amino acid starvation;negative regulation of TORC1 signaling;GTPase activator activity	3
1797	6216	GATOR2 complex	GO:1903432	regulation of TORC1 signaling	5
1798	6217	GATOR complex	GO:1903432;GO:1903832	regulation of TORC1 signaling;regulation of cellular response to amino acid starvation	8
1799	6218	POL2R-SYMPK-SSU72 complex	GO:1900363	regulation of mRNA polyadenylation	3
1800	6219	DGKZ-RASGRP1-HRAS complex	GO:0007265	Ras protein signal transduction	3
1801	6220	HDAC10-PAX3-KAP1 complex	GO:0048021;GO:0003700	regulation of melanin biosynthetic process;DNA-binding transcription factor activity	3
1802	6223	CCM2-ICAP1-KRIT1 complex	GO:0007155	cell adhesion	3
1803	6224	CCM2-KRIT1-MEKK3 complex	GO:1900744	regulation of p38MAPK cascade	3
1804	6226	Rab11a-FIP3-DLIC-1 complex	GO:0016197	endosomal transport	3
1805	6229	ATG13-RB1CC1-ULK1 complex	GO:1905037;GO:0006914	autophagosome organization;autophagy	3
1806	6230	ATG13-RB1CC1-ULK2 complex	GO:0006914;GO:1905037	autophagy;autophagosome organization	3
1807	6232	ATG101-ATG13-RB1CC1-ULK1 complex	GO:0006914	autophagy	4
1808	6233	Ubiquitin E3 ligase (CUL3, KLHL3, WNK1)	GO:0006511;GO:0031461	ubiquitin-dependent protein catabolic process;cullin-RING ubiquitin ligase complex	3
1809	6235	c-Fos-c-Jun-SAF-1 complex	GO:0006355;GO:0003677	regulation of DNA-templated transcription;DNA binding	3
1810	6236	Dynein-2 complex, cytoplasmic	GO:0035721;GO:0005929;GO:0007224;GO:0042073	intraciliary retrograde transport;cilium;smoothened signaling pathway;intraciliary transport	12
1811	6237	AJUBA-GFI1-HDAC1 complex	GO:0045892	negative regulation of DNA-templated transcription	3
1812	6238	DHDDS-NUS1 complex	GO:0043048;GO:0006486;GO:0005783;GO:0042632	dolichyl monophosphate biosynthetic process;protein glycosylation;endoplasmic reticulum;cholesterol homeostasis	2
1813	6242	14-3-3q-SGK1-tau complex	GO:0001932	regulation of protein phosphorylation	3
1814	6243	AJUBA-GFI1-HDAC2 complex	GO:0045892	negative regulation of DNA-templated transcription	3
1815	6244	AJUBA-GFI1-HDAC3 complex	GO:0045892	negative regulation of DNA-templated transcription	3
1816	6245	Telomerase holoenzyme	GO:0003720;GO:0005697	telomerase activity;telomerase holoenzyme complex	7
1817	6246	BBS4 centriolar satellite complex	GO:0005929;GO:0042073;GO:0034451;GO:0060271	cilium;intraciliary transport;centriolar satellite;cilium assembly	3
1818	6247	BBS-chaperonin complex	GO:0005929;GO:0051131;GO:0042073	cilium;chaperone-mediated protein complex assembly;intraciliary transport	10
1819	6248	CSF3R-FBXW7-GSK3B complex	GO:0031146;GO:0030851;GO:0038158	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process;granulocyte differentiation;granulocyte colony-stimulating factor signaling pathway	3
1820	6249	MIB complex, mitochondrial	GO:0044284;GO:0042407;GO:0061617;GO:0005741;GO:0005743;GO:0001401;GO:0006626;GO:0006839;GO:0005739	mitochondrial crista junction;cristae formation;MICOS complex;mitochondrial outer membrane;mitochondrial inner membrane;SAM complex;protein targeting to mitochondrion;mitochondrial transport;mitochondrion	12
1821	6250	LPA(2)-NHERF2-PLC-beta3 complex	GO:0019216	regulation of lipid metabolic process	3
1822	6251	Shc-ERalpha-IGF-1R complex	GO:0043405	regulation of MAP kinase activity	3
1823	6253	MYO5B-RAB11A-RAB11FIP2 complex	GO:0016192	vesicle-mediated transport	3
1824	6254	GPC-4.1R-p55 complex	None	None	3
1825	6255	MICOS complex, mitochondrial	GO:0061617;GO:0042407	MICOS complex;cristae formation	7
1826	6257	ANKS6-NEK8-INVS-NPHP3 complex	GO:0005929;GO:0001822	cilium;kidney development	4
1827	6259	USH2 complex	None	None	4
1828	6260	MPP7-DLG1-LIN7A complex	GO:0097025;GO:0030054	MPP7-DLG1-LIN7 complex;cell junction	3
1829	6261	Histone-2-Histone-4-ASF1A-MCM2 complex	GO:0006325	chromatin organization	4
1830	6263	MPP7-DLG1-LIN7C complex	GO:0097025	MPP7-DLG1-LIN7 complex	3
1831	6264	DLG5-SORBS3-CTNNB1 complex	GO:0005911	cell-cell junction	3
1832	6266	Ubiquitin E3 ligase (CUL3, KLHL3, WNK4)	GO:0016874;GO:0016567;GO:0050801;GO:0000151;GO:0006511;GO:0031461	ligase activity;protein ubiquitination;ion homeostasis;ubiquitin ligase complex;ubiquitin-dependent protein catabolic process;cullin-RING ubiquitin ligase complex	3
1833	6267	Ubiquitin E3 ligase (CUL3, KLHL3)	GO:0016874;GO:0016567;GO:0050801;GO:0000151;GO:0006511;GO:0031461	ligase activity;protein ubiquitination;ion homeostasis;ubiquitin ligase complex;ubiquitin-dependent protein catabolic process;cullin-RING ubiquitin ligase complex	2
1834	6268	Cullin-RING E3 ubiquitin ligase complex (ASB9, CUL5, TCEB1, TCEB2)	GO:0031461;GO:0031466;GO:0000209	cullin-RING ubiquitin ligase complex;Cul5-RING ubiquitin ligase complex;protein polyubiquitination	4
1835	6269	DLL1-CTNNB1-CDH2 complex	GO:0005912;GO:0071896	adherens junction;protein localization to adherens junction	3
1836	6274	HEXA-HEXB complex	GO:0004563;GO:0005975;GO:0006687;GO:0030203;GO:0004553	beta-N-acetylhexosaminidase activity;carbohydrate metabolic process;glycosphingolipid metabolic process;glycosaminoglycan metabolic process;hydrolase activity, hydrolyzing O-glycosyl compounds	2
1837	6275	HEXB homodimer complex	GO:0004563;GO:0005975;GO:0006687;GO:0030203;GO:0004553	beta-N-acetylhexosaminidase activity;carbohydrate metabolic process;glycosphingolipid metabolic process;glycosaminoglycan metabolic process;hydrolase activity, hydrolyzing O-glycosyl compounds	1
1838	6277	Rev1-Rev3-Rev7-Polkappa complex	GO:1904331	regulation of error-prone translesion synthesis	4
1839	6280	NEDD8-NUB1-NPLOC4-UFD1L complex	GO:2000434	regulation of protein neddylation	4
1840	6282	G alpha-13-Hax-1-cortactin-Rac complex	GO:0016477	cell migration	4
1841	6283	SIVA1-XIAP-TAK1 complex	GO:0007249	I-kappaB kinase/NF-kappaB signaling	3
1842	6287	SLC2A1-DMTN-ADD2 complex	GO:0003779;GO:0030507;GO:0016020	actin binding;spectrin binding;membrane	3
1843	6289	prohibitin 2 complex, mitochondrial	GO:0006915;GO:0008637	apoptotic process;apoptotic mitochondrial changes	5
1844	6290	Ubiquitin E3 ligase (DDB1, DYRK2, EDD, VPRBP)	GO:0044772;GO:0006511;GO:0006468	mitotic cell cycle phase transition;ubiquitin-dependent protein catabolic process;protein phosphorylation	4
1845	6291	Ubiquitin E3 ligase (DDIT4, DDB1, BTRC, CUL4A)	GO:0032006;GO:0006511;GO:0006468;GO:0001666	regulation of TOR signaling;ubiquitin-dependent protein catabolic process;protein phosphorylation;response to hypoxia	4
1846	6292	HAX-1-XIAP complex	GO:0006915;GO:1902915	apoptotic process;negative regulation of protein polyubiquitination	2
1847	6293	DDN-MAGI2-SH3KBP1 complex	GO:0043197	dendritic spine	3
1848	6294	DDR1-PRKCZ-WWC1 complex	GO:0035556	intracellular signal transduction	3
1849	6295	CR2-CD19 complex	GO:0006955	immune response	2
1850	6296	SPATA2-CYLD complex	GO:0007249;GO:1902528	I-kappaB kinase/NF-kappaB signaling;regulation of protein linear polyubiquitination	2
1851	6297	GP1BA-VWF complex	GO:0030193	regulation of blood coagulation	2
1852	6299	ELK1-SAP1a-EWS-FLI-FLI complex	GO:0006355	regulation of DNA-templated transcription	4
1853	6300	CDKN1A-TP53-CDK1-PCNA complex	None	None	3
1854	6301	tRNA Splicing Ligase Complex	GO:0072669;GO:0000394	tRNA-splicing ligase complex;RNA splicing, via endonucleolytic cleavage and ligation	5
1855	6302	B-WICH complex	GO:0006351;GO:0005634;GO:0006338	DNA-templated transcription;nucleus;chromatin remodeling	9
1856	6303	DDX11-RAD21-SMC1A-SMC3 complex	GO:0007062	sister chromatid cohesion	4
1857	6304	DDX11-Ctf18-RFC complex	GO:0004386;GO:0007062	helicase activity;sister chromatid cohesion	6
1858	6306	DDX27-PeBoW complex	GO:0006364;GO:0005730	rRNA processing;nucleolus	4
1859	6307	RAB27A-SLP3-KLC1 transport complex	GO:0043316	cytotoxic T cell degranulation	3
1860	6308	protein complex (DDX28; DHX30; GRSF1; FASTKD2; FASTKD5)	GO:0061668	mitochondrial ribosome assembly	5
1861	6310	DEAF1- complex	GO:0005634	nucleus	3
1862	6313	AATF-NGDN-NOL10 complex	GO:0090069	regulation of ribosome biogenesis	3
1863	6314	MSP58-RINT1 complex	GO:0090069	regulation of ribosome biogenesis	2
1864	6317	NLRP1 inflammasome (CASP5)	GO:0045087;GO:0002221;GO:0072558;GO:0032731;GO:0050729;GO:0051607;GO:0043331;GO:0032496;GO:0061702;GO:0140447;GO:0140639	innate immune response;pattern recognition receptor signaling pathway;NLRP1 inflammasome complex;positive regulation of interleukin-1 beta production;positive regulation of inflammatory response;defense response to virus;response to dsRNA;response to lipopolysaccharide;inflammasome complex;cytokine precursor processing;positive regulation of pyroptosis	4
1865	6321	DLG4-DLGAP1-SHANK3 complex	None	None	3
1866	6323	Cardinal-NLRP3 inflammasome	GO:0045087;GO:0002221;GO:0072559;GO:0032731;GO:0032692;GO:0050727;GO:0006952;GO:0061702;GO:0140447	innate immune response;pattern recognition receptor signaling pathway;NLRP3 inflammasome complex;positive regulation of interleukin-1 beta production;negative regulation of interleukin-1 production;regulation of inflammatory response;defense response;inflammasome complex;cytokine precursor processing	4
1867	6324	Cardinal-NLRP2 inflammasome	GO:0045087;GO:0061702;GO:0050729;GO:0032731;GO:0002221;GO:0006952;GO:0140447	innate immune response;inflammasome complex;positive regulation of inflammatory response;positive regulation of interleukin-1 beta production;pattern recognition receptor signaling pathway;defense response;cytokine precursor processing	4
1868	6332	Elongator complex (ELP1, ELP2, ELP3, ELP4, ELP5, ELP6)	GO:0006357	regulation of transcription by RNA polymerase II	6
1869	6333	Nav1.2-beta2 complex	None	None	2
1870	6334	Afadin-beta-catenin complex	GO:0098609;GO:0034332	cell-cell adhesion;adherens junction organization	2
1871	6336	CTNNB1-DNMT1 complex	GO:0030111;GO:0006306	regulation of Wnt signaling pathway;DNA methylation	2
1872	6337	Amot-cadherin-11-beta-catenin-p120 complex	GO:0030334	regulation of cell migration	4
1873	6339	beta-catenin-B-cell lymphoma 9 protein  complex	GO:0030111	regulation of Wnt signaling pathway	2
1874	6340	PITX2-MLL4-ASH2L-RBBP5-PTIP complex	GO:0045595	regulation of cell differentiation	5
1875	6341	GIT1-ARHGEF7-PAK1-PXN complex	None	None	4
1876	6342	JADE1-NPHP4 complex	GO:0030178;GO:0097546	negative regulation of Wnt signaling pathway;ciliary base	2
1877	6343	SETD7-YAP-AXIN1-beta-catenin complex	GO:0030111;GO:0035330	regulation of Wnt signaling pathway;regulation of hippo signaling	4
1878	6344	TNFR1 signaling complex, native	GO:0006954;GO:0016567;GO:0051092;GO:0046328;GO:0042981;GO:0010803	inflammatory response;protein ubiquitination;positive regulation of NF-kappaB transcription factor activity;regulation of JNK cascade;regulation of apoptotic process;regulation of tumor necrosis factor-mediated signaling pathway	15
1879	6345	ZNF304-corepressor complex	GO:0006306;GO:0003677;GO:0005634;GO:0090309	DNA methylation;DNA binding;nucleus;positive regulation of DNA methylation-dependent heterochromatin formation	4
1880	6347	TNF-TNFR1-TRADD-RIP1-TRAF2 complex	GO:0051092;GO:0033209;GO:0005886	positive regulation of NF-kappaB transcription factor activity;tumor necrosis factor-mediated signaling pathway;plasma membrane	5
1881	6351	PKP1-ZO-1 complex	GO:0007155;GO:0042481;GO:0036305	cell adhesion;regulation of odontogenesis;ameloblast differentiation	2
1882	6352	FoxM1-Axin-GSK3beta complex	None	None	3
1883	6354	Sox4-beta-catenin-p300 complex	GO:0051091	positive regulation of DNA-binding transcription factor activity	3
1884	6355	Glutamate receptor 1 complex, metabotropic	GO:0008066	glutamate receptor activity	1
1885	6356	Glutamate receptor 2 complex, metabotropic	GO:0008066	glutamate receptor activity	1
1886	6357	Glutamate receptor 4 complex, metabotropic	GO:0008066	glutamate receptor activity	1
1887	6358	Glutamate receptor 7 complex, metabotropic	GO:0008066	glutamate receptor activity	1
1888	6359	RHAMM-beta-catenin complex	GO:0042127	regulation of cell population proliferation	2
1889	6360	Glutamate receptor 8 complex, metabotropic	GO:0008066	glutamate receptor activity	1
1890	6362	PDLIM1-E-cadherin-beta-catenin complex	GO:0061635	regulation of protein complex stability	3
1891	6363	mGluR2-mGluR4 complex	GO:0008066	glutamate receptor activity	2
1892	6364	OVOL2-beta-catenin-TCF4 complex	GO:0060828	regulation of canonical Wnt signaling pathway	3
1893	6365	Synexin-sorcin complex	GO:0042583;GO:0042584;GO:0048306	chromaffin granule;chromaffin granule membrane;calcium-dependent protein binding	2
1894	6367	mGluR2-mGluR7 complex	GO:0008066	glutamate receptor activity	2
1895	6368	mGluR2-mGluR8 complex	GO:0008066	glutamate receptor activity	2
1896	6369	mGluR3-mGluR4 complex	GO:0008066	glutamate receptor activity	2
1897	6370	mGluR3-mGluR7 complex	GO:0008066	glutamate receptor activity	2
1898	6371	mGluR3-mGluR8 complex	GO:0008066	glutamate receptor activity	2
1899	6373	MiDAC complex	None	None	4
1900	6374	Calcineurin-FKBP12 complex	GO:0019722;GO:0005955;GO:0005516;GO:0016791;GO:0042110	calcium-mediated signaling;calcineurin complex;calmodulin binding;phosphatase activity;T cell activation	3
1901	6375	PEF1-ALG2 complex	GO:0051592;GO:0005737	response to calcium ion;cytoplasm	2
1902	6381	NPHP1-NPHP4-BCAR1 complex	GO:0098609;GO:0007160;GO:0051301	cell-cell adhesion;cell-matrix adhesion;cell division	3
1903	6388	CORVET complex	GO:0033263;GO:0099022;GO:0034058	CORVET complex;vesicle tethering;endosomal vesicle fusion	6
1904	6389	HOPS complex	GO:0099022;GO:0034058;GO:0035542;GO:0019048;GO:0051607;GO:0061909	vesicle tethering;endosomal vesicle fusion;regulation of SNARE complex assembly;modulation by virus of host process;defense response to virus;autophagosome-lysosome fusion	6
1905	6390	Endosomal targeting complex (VIPAS39-VPS33B)	GO:0034058;GO:0099022	endosomal vesicle fusion;vesicle tethering	2
1906	6391	KCTD12-GNB1-GNG2 complex	GO:0002029	desensitization of G protein-coupled receptor signaling pathway	3
1907	6392	KCTD8-GNB1-GNG2 complex	GO:0007186	G protein-coupled receptor signaling pathway	3
1908	6393	KCTD16-GNB1-GNG2 complex	GO:0007186	G protein-coupled receptor signaling pathway	3
1909	6394	CNOT1-CNOT2-CNOT3 complex	GO:0006355;GO:0035195;GO:1901873	regulation of DNA-templated transcription;miRNA-mediated gene silencing;regulation of post-translational protein modification	3
1910	6395	4E-T-DDX6-CNOT1 complex	GO:0017148;GO:1901834	negative regulation of translation;regulation of deadenylation-independent decapping of nuclear-transcribed mRNA	3
1911	6396	DNJC3-DNAJB1-HSPA8 complex	GO:0039585	PKR-mediated signaling	3
1912	6402	NMNAT2-HSP90 complex	GO:0061077;GO:0042026	chaperone-mediated protein folding;protein refolding	2
1913	6403	MST1-SAV1 complex	GO:0060271	cilium assembly	2
1914	6404	SAV1-STK3 complex	GO:0060271	cilium assembly	2
1915	6405	COX1-MITRAC12-SURF1 complex	GO:0005739;GO:0005743	mitochondrion;mitochondrial inner membrane	3
1916	6410	MITRAC7-COX1 complex	GO:0005739;GO:1903607;GO:0033617	mitochondrion;cytochrome c biosynthetic process;mitochondrial cytochrome c oxidase assembly	2
1917	6411	TRIM31-MAGEA1-NSE4 complex	GO:0006355	regulation of DNA-templated transcription	3
1918	6412	AURKA-HDAC6 cilia-disassembly complex	GO:0061523	cilium disassembly	2
1919	6413	PDGFB-PDGFRB complex	GO:0035791	platelet-derived growth factor receptor-beta signaling pathway	2
1920	6415	pallidin-Cappuccino-BLOS1 complex	None	None	3
1921	6416	dysbindin-Snapin-BLOS2 complex	None	None	3
1922	6417	Fibrinogen complex	GO:0030168	platelet activation	3
1923	6418	C1q complex	GO:0002376;GO:0006955;GO:0006956;GO:0006958;GO:0045087	immune system process;immune response;complement activation;complement activation, classical pathway;innate immune response	3
1924	6421	DNTTIP1-ZNF541-HDAC1-HDAC2 complex	GO:0000118;GO:0004407	histone deacetylase complex;histone deacetylase activity	4
1925	6422	SETDB1-DNMT3A complex	GO:0017053;GO:0006355	transcription repressor complex;regulation of DNA-templated transcription	2
