Network	GO Branch	Term	Term name	P-value	Term_size	Intersection	Expected	Observed/Expected
PathwayCommons	BP	GO:0055085	transmembrane transport	4.73E-04	1784	1741	1715.00	1.02
PathwayCommons	BP	GO:0030198	extracellular matrix organization	5.94E-04	314	312	301.86	1.03
PathwayCommons	BP	GO:0007059	chromosome segregation	9.17E-04	403	399	387.41	1.03
PathwayCommons	BP	GO:0065003	protein-containing complex assembly	1.01E-03	1648	1608	1584.26	1.01
PathwayCommons	BP	GO:0032200	telomere organization	1.55E-03	186	186	178.81	1.04
PathwayCommons	BP	GO:0072659	protein localization to plasma membrane	1.71E-03	284	282	273.02	1.03
PathwayCommons	BP	GO:0006913	nucleocytoplasmic transport	2.09E-03	326	323	313.39	1.03
PathwayCommons	BP	GO:0007163	establishment or maintenance of cell polarity	2.62E-03	227	226	218.22	1.04
PathwayCommons	BP	GO:0006790	sulfur compound metabolic process	2.98E-03	320	317	307.62	1.03
PathwayCommons	BP	GO:0006310	DNA recombination	6.07E-03	333	329	320.12	1.03
PathwayCommons	BP	GO:0007018	microtubule-based movement	6.29E-03	640	628	615.25	1.02
PathwayCommons	BP	GO:0007005	mitochondrion organization	1.64E-02	484	475	465.28	1.02
PathwayCommons	BP	GO:0042254	ribosome biogenesis	2.12E-02	297	293	285.51	1.03
PathwayCommons	BP	GO:0098542	defense response to other organism	2.31E-02	1171	1140	1125.71	1.01
PathwayCommons	BP	GO:0006766	vitamin metabolic process	3.74E-02	107	107	102.86	1.04
PathwayCommons	BP	GO:0006575	cellular modified amino acid metabolic process	5.22E-02	186	184	178.81	1.03
PathwayCommons	BP	GO:0006325	chromatin organization	6.01E-02	720	702	692.15	1.01
PathwayCommons	BP	GO:0098754	detoxification	6.72E-02	134	133	128.82	1.03
PathwayCommons	BP	GO:0006457	protein folding	6.97E-02	210	207	201.88	1.03
PathwayCommons	BP	GO:0031047	regulatory ncRNA-mediated gene silencing	9.38E-02	119	118	114.40	1.03
PathwayCommons	BP	GO:0003014	renal system process	9.84E-02	127	126	122.09	1.03
PathwayCommons	BP	GO:0022600	digestive system process	1.34E-01	110	109	105.75	1.03
PathwayCommons	BP	GO:0002181	cytoplasmic translation	1.35E-01	153	151	147.08	1.03
PathwayCommons	BP	GO:0055086	nucleobase-containing small molecule metabolic process	1.71E-01	729	708	700.80	1.01
PathwayCommons	BP	GO:0044782	cilium organization	1.88E-01	399	389	383.57	1.01
PathwayCommons	BP	GO:0140053	mitochondrial gene expression	2.22E-01	164	161	157.66	1.02
PathwayCommons	BP	GO:0140013	meiotic nuclear division	2.75E-01	279	272	268.21	1.01
PathwayCommons	BP	GO:0007040	lysosome organization	4.46E-01	107	105	102.86	1.02
PathwayCommons	BP	GO:0006486	protein glycosylation	4.84E-01	225	219	216.30	1.01
PathwayCommons	BP	GO:0006091	generation of precursor metabolites and energy	6.40E-01	502	485	482.58	1.01
PathwayCommons	BP	GO:0006399	tRNA metabolic process	8.51E-01	196	188	188.42	1.00
PathwayCommons	BP	GO:0006520	amino acid metabolic process	8.78E-01	292	282	280.71	1.00
PathwayCommons	BP	GO:0000910	cytokinesis	1.00E+00	186	179	178.81	1.00
Phosphosite	BP	GO:0012501	programmed cell death	5.68E-153	1954	761	310.76	2.45
Phosphosite	BP	GO:0006355	regulation of DNA-templated transcription	9.94E-73	3342	897	531.50	1.69
Phosphosite	BP	GO:0002376	immune system process	2.48E-67	2448	703	389.32	1.81
Phosphosite	BP	GO:0007010	cytoskeleton organization	5.46E-66	1639	526	260.66	2.02
Phosphosite	BP	GO:0065003	protein-containing complex assembly	4.52E-65	1648	526	262.09	2.01
Phosphosite	BP	GO:0048870	cell motility	4.84E-57	1659	510	263.84	1.93
Phosphosite	BP	GO:0007059	chromosome segregation	2.25E-45	403	183	64.09	2.86
Phosphosite	BP	GO:0006325	chromatin organization	3.62E-42	720	261	114.51	2.28
Phosphosite	BP	GO:0006281	DNA repair	1.19E-38	587	221	93.35	2.37
Phosphosite	BP	GO:0006914	autophagy	1.76E-37	568	214	90.33	2.37
Phosphosite	BP	GO:0006913	nucleocytoplasmic transport	3.24E-34	326	144	51.85	2.78
Phosphosite	BP	GO:0007155	cell adhesion	1.50E-30	1444	394	229.65	1.72
Phosphosite	BP	GO:0006260	DNA replication	6.34E-30	279	124	44.37	2.79
Phosphosite	BP	GO:0007163	establishment or maintenance of cell polarity	2.51E-29	227	108	36.10	2.99
Phosphosite	BP	GO:0006954	inflammatory response	3.02E-28	820	254	130.41	1.95
Phosphosite	BP	GO:0030163	protein catabolic process	4.31E-28	990	291	157.45	1.85
Phosphosite	BP	GO:0042060	wound healing	2.58E-26	431	158	68.54	2.31
Phosphosite	BP	GO:0034330	cell junction organization	7.39E-26	727	227	115.62	1.96
Phosphosite	BP	GO:0003012	muscle system process	1.39E-23	425	151	67.59	2.23
Phosphosite	BP	GO:0003013	circulatory system process	3.39E-21	584	183	92.88	1.97
Phosphosite	BP	GO:0032200	telomere organization	1.36E-20	186	83	29.58	2.81
Phosphosite	BP	GO:0016071	mRNA metabolic process	1.60E-20	713	210	113.39	1.85
Phosphosite	BP	GO:0098542	defense response to other organism	2.18E-20	1171	306	186.23	1.64
Phosphosite	BP	GO:0016192	vesicle-mediated transport	1.73E-19	1894	444	301.21	1.47
Phosphosite	BP	GO:0000910	cytokinesis	2.51E-19	186	81	29.58	2.74
Phosphosite	BP	GO:0006310	DNA recombination	4.14E-18	333	117	52.96	2.21
Phosphosite	BP	GO:0072659	protein localization to plasma membrane	4.02E-16	284	101	45.17	2.24
Phosphosite	BP	GO:0006091	generation of precursor metabolites and energy	1.01E-14	502	148	79.84	1.85
Phosphosite	BP	GO:0007005	mitochondrion organization	1.17E-13	484	141	76.97	1.83
Phosphosite	BP	GO:0006886	intracellular protein transport	3.71E-13	664	178	105.60	1.69
Phosphosite	BP	GO:0140013	meiotic nuclear division	2.55E-11	279	89	44.37	2.01
Phosphosite	BP	GO:0005975	carbohydrate metabolic process	2.45E-10	551	145	87.63	1.65
Phosphosite	BP	GO:0006486	protein glycosylation	1.05E-09	225	7	35.78	0.20
Phosphosite	BP	GO:0055086	nucleobase-containing small molecule metabolic process	2.08E-07	729	169	115.94	1.46
Phosphosite	BP	GO:0055085	transmembrane transport	4.22E-06	1784	353	283.72	1.24
Phosphosite	BP	GO:0002181	cytoplasmic translation	1.05E-05	153	46	24.33	1.89
Phosphosite	BP	GO:0031047	regulatory ncRNA-mediated gene silencing	3.88E-05	119	37	18.93	1.96
Phosphosite	BP	GO:0140053	mitochondrial gene expression	5.46E-04	164	11	26.08	0.42
Phosphosite	BP	GO:0003014	renal system process	8.65E-04	127	35	20.20	1.73
Phosphosite	BP	GO:0098754	detoxification	2.74E-03	134	35	21.31	1.64
Phosphosite	BP	GO:0022600	digestive system process	8.68E-03	110	28	17.49	1.60
Phosphosite	BP	GO:0006629	lipid metabolic process	2.52E-02	1355	245	215.49	1.14
Phosphosite	BP	GO:0007018	microtubule-based movement	4.77E-02	640	120	101.78	1.18
Phosphosite	BP	GO:0006457	protein folding	7.15E-02	210	43	33.40	1.29
Phosphosite	BP	GO:0006399	tRNA metabolic process	1.16E-01	196	23	31.17	0.74
Phosphosite	BP	GO:0006520	amino acid metabolic process	2.26E-01	292	54	46.44	1.16
Phosphosite	BP	GO:0030198	extracellular matrix organization	4.36E-01	314	55	49.94	1.10
Phosphosite	BP	GO:0006766	vitamin metabolic process	5.08E-01	107	14	17.02	0.82
Phosphosite	BP	GO:0050877	nervous system process	5.35E-01	1527	234	242.85	0.96
Phosphosite	BP	GO:0044782	cilium organization	6.28E-01	399	67	63.46	1.06
Phosphosite	BP	GO:0006575	cellular modified amino acid metabolic process	7.63E-01	186	31	29.58	1.05
Phosphosite	BP	GO:0006790	sulfur compound metabolic process	8.17E-01	320	49	50.89	0.96
Phosphosite	BP	GO:0007040	lysosome organization	1.00E+00	107	17	17.02	1.00
Phosphosite	BP	GO:0042254	ribosome biogenesis	1.00E+00	297	47	47.23	1.00
PID2	BP	GO:0012501	programmed cell death	6.88E-219	1954	784	263.47	2.98
PID2	BP	GO:0002376	immune system process	5.12E-147	2448	783	330.08	2.37
PID2	BP	GO:0048870	cell motility	2.63E-142	1659	610	223.69	2.73
PID2	BP	GO:0007155	cell adhesion	4.93E-120	1444	528	194.70	2.71
PID2	BP	GO:0006355	regulation of DNA-templated transcription	1.42E-106	3342	873	450.62	1.94
PID2	BP	GO:0006954	inflammatory response	3.40E-79	820	321	110.57	2.90
PID2	BP	GO:0042060	wound healing	2.26E-57	431	192	58.11	3.30
PID2	BP	GO:0034330	cell junction organization	5.51E-57	727	264	98.03	2.69
PID2	BP	GO:0007010	cytoskeleton organization	9.30E-41	1639	413	221.00	1.87
PID2	BP	GO:0098542	defense response to other organism	2.29E-39	1171	322	157.89	2.04
PID2	BP	GO:0016192	vesicle-mediated transport	2.72E-34	1894	440	255.38	1.72
PID2	BP	GO:0003013	circulatory system process	9.58E-30	584	183	78.74	2.32
PID2	BP	GO:0065003	protein-containing complex assembly	2.53E-28	1648	379	222.21	1.71
PID2	BP	GO:0006281	DNA repair	3.37E-26	587	176	79.15	2.22
PID2	BP	GO:0007163	establishment or maintenance of cell polarity	5.82E-23	227	90	30.61	2.94
PID2	BP	GO:0003012	muscle system process	2.77E-21	425	132	57.31	2.30
PID2	BP	GO:0006914	autophagy	1.31E-18	568	155	76.59	2.02
PID2	BP	GO:0030163	protein catabolic process	3.02E-18	990	232	133.49	1.74
PID2	BP	GO:0006913	nucleocytoplasmic transport	1.80E-16	326	101	43.96	2.30
PID2	BP	GO:0006260	DNA replication	4.76E-16	279	90	37.62	2.39
PID2	BP	GO:0000910	cytokinesis	1.49E-15	186	68	25.08	2.71
PID2	BP	GO:0032200	telomere organization	7.45E-14	186	65	25.08	2.59
PID2	BP	GO:0072659	protein localization to plasma membrane	1.19E-13	284	86	38.29	2.25
PID2	BP	GO:0006310	DNA recombination	9.47E-13	333	94	44.90	2.09
PID2	BP	GO:0007059	chromosome segregation	1.73E-12	403	107	54.34	1.97
PID2	BP	GO:0030198	extracellular matrix organization	2.72E-12	314	89	42.34	2.10
PID2	BP	GO:0006886	intracellular protein transport	5.07E-12	664	154	89.53	1.72
PID2	BP	GO:0005975	carbohydrate metabolic process	1.67E-11	551	132	74.29	1.78
PID2	BP	GO:0006325	chromatin organization	3.43E-11	720	161	97.08	1.66
PID2	BP	GO:0007005	mitochondrion organization	4.79E-09	484	112	65.26	1.72
PID2	BP	GO:0006399	tRNA metabolic process	4.88E-09	196	3	26.43	0.11
PID2	BP	GO:0006629	lipid metabolic process	1.44E-07	1355	249	182.70	1.36
PID2	BP	GO:0006091	generation of precursor metabolites and energy	1.87E-07	502	110	67.69	1.63
PID2	BP	GO:0006486	protein glycosylation	1.91E-07	225	7	30.34	0.23
PID2	BP	GO:0140013	meiotic nuclear division	2.09E-06	279	67	37.62	1.78
PID2	BP	GO:0140053	mitochondrial gene expression	8.84E-06	164	5	22.11	0.23
PID2	BP	GO:0098754	detoxification	1.93E-04	134	34	18.07	1.88
PID2	BP	GO:0003014	renal system process	1.97E-04	127	33	17.12	1.93
PID2	BP	GO:0022600	digestive system process	6.65E-04	110	28	14.83	1.89
PID2	BP	GO:0050877	nervous system process	2.27E-03	1527	246	205.89	1.19
PID2	BP	GO:0031047	regulatory ncRNA-mediated gene silencing	6.43E-03	119	27	16.05	1.68
PID2	BP	GO:0055085	transmembrane transport	7.00E-03	1784	278	240.55	1.16
PID2	BP	GO:0006520	amino acid metabolic process	7.17E-03	292	24	39.37	0.61
PID2	BP	GO:0042254	ribosome biogenesis	7.87E-03	297	25	40.05	0.62
PID2	BP	GO:0006790	sulfur compound metabolic process	1.04E-02	320	28	43.15	0.65
PID2	BP	GO:0055086	nucleobase-containing small molecule metabolic process	1.48E-02	729	121	98.30	1.23
PID2	BP	GO:0044782	cilium organization	4.50E-02	399	40	53.80	0.74
PID2	BP	GO:0006766	vitamin metabolic process	4.51E-02	107	22	14.43	1.52
PID2	BP	GO:0006457	protein folding	5.34E-02	210	38	28.32	1.34
PID2	BP	GO:0007040	lysosome organization	1.54E-01	107	9	14.43	0.62
PID2	BP	GO:0002181	cytoplasmic translation	3.41E-01	153	16	20.63	0.78
PID2	BP	GO:0007018	microtubule-based movement	5.96E-01	640	81	86.30	0.94
PID2	BP	GO:0016071	mRNA metabolic process	7.80E-01	713	93	96.14	0.97
PID2	BP	GO:0006575	cellular modified amino acid metabolic process	9.14E-01	186	24	25.08	0.96
PIPs	BP	GO:0002376	immune system process	2.12E-104	2448	1156	687.23	1.68
PIPs	BP	GO:0012501	programmed cell death	6.48E-102	1954	971	548.55	1.77
PIPs	BP	GO:0006355	regulation of DNA-templated transcription	7.96E-75	3342	1382	938.20	1.47
PIPs	BP	GO:0007155	cell adhesion	2.58E-71	1444	713	405.38	1.76
PIPs	BP	GO:0006954	inflammatory response	1.59E-63	820	455	230.20	1.98
PIPs	BP	GO:0048870	cell motility	3.19E-54	1659	748	465.73	1.61
PIPs	BP	GO:0065003	protein-containing complex assembly	1.34E-50	1648	734	462.64	1.59
PIPs	BP	GO:0042060	wound healing	1.41E-44	431	259	120.99	2.14
PIPs	BP	GO:0098542	defense response to other organism	7.52E-34	1171	517	328.74	1.57
PIPs	BP	GO:0016071	mRNA metabolic process	2.75E-31	713	344	200.16	1.72
PIPs	BP	GO:0006886	intracellular protein transport	3.23E-30	664	323	186.41	1.73
PIPs	BP	GO:0016192	vesicle-mediated transport	1.63E-27	1894	739	531.70	1.39
PIPs	BP	GO:0034330	cell junction organization	3.20E-26	727	336	204.09	1.65
PIPs	BP	GO:0003013	circulatory system process	5.17E-25	584	280	163.95	1.71
PIPs	BP	GO:0003012	muscle system process	2.96E-22	425	213	119.31	1.79
PIPs	BP	GO:0030163	protein catabolic process	6.67E-21	990	412	277.92	1.48
PIPs	BP	GO:0006913	nucleocytoplasmic transport	3.92E-20	326	170	91.52	1.86
PIPs	BP	GO:0006281	DNA repair	7.32E-20	587	267	164.79	1.62
PIPs	BP	GO:0002181	cytoplasmic translation	9.93E-18	153	94	42.95	2.19
PIPs	BP	GO:0006260	DNA replication	8.47E-17	279	144	78.32	1.84
PIPs	BP	GO:0006914	autophagy	2.99E-12	568	236	159.46	1.48
PIPs	BP	GO:0007163	establishment or maintenance of cell polarity	4.99E-12	227	113	63.73	1.77
PIPs	BP	GO:0032200	telomere organization	1.09E-11	186	96	52.22	1.84
PIPs	BP	GO:0042254	ribosome biogenesis	1.60E-11	297	138	83.38	1.66
PIPs	BP	GO:0006325	chromatin organization	5.91E-11	720	282	202.13	1.40
PIPs	BP	GO:0006310	DNA recombination	1.16E-09	333	145	93.48	1.55
PIPs	BP	GO:0072659	protein localization to plasma membrane	4.71E-09	284	126	79.73	1.58
PIPs	BP	GO:0007010	cytoskeleton organization	8.34E-08	1639	555	460.12	1.21
PIPs	BP	GO:0022600	digestive system process	1.66E-07	110	57	30.88	1.85
PIPs	BP	GO:0006486	protein glycosylation	1.89E-07	225	30	63.16	0.47
PIPs	BP	GO:0044782	cilium organization	4.74E-07	399	69	112.01	0.62
PIPs	BP	GO:0140053	mitochondrial gene expression	1.22E-06	164	20	46.04	0.43
PIPs	BP	GO:0055085	transmembrane transport	1.22E-06	1784	590	500.82	1.18
PIPs	BP	GO:0030198	extracellular matrix organization	1.25E-06	314	128	88.15	1.45
PIPs	BP	GO:0000910	cytokinesis	3.42E-06	186	82	52.22	1.57
PIPs	BP	GO:0007059	chromosome segregation	5.20E-06	403	155	113.13	1.37
PIPs	BP	GO:0007018	microtubule-based movement	8.88E-06	640	131	179.67	0.73
PIPs	BP	GO:0006457	protein folding	1.84E-05	210	88	58.95	1.49
PIPs	BP	GO:0003014	renal system process	2.51E-05	127	58	35.65	1.63
PIPs	BP	GO:0006790	sulfur compound metabolic process	1.07E-03	320	64	89.83	0.71
PIPs	BP	GO:0140013	meiotic nuclear division	1.97E-03	279	102	78.32	1.30
PIPs	BP	GO:0031047	regulatory ncRNA-mediated gene silencing	2.04E-03	119	49	33.41	1.47
PIPs	BP	GO:0006575	cellular modified amino acid metabolic process	2.34E-03	186	34	52.22	0.65
PIPs	BP	GO:0006520	amino acid metabolic process	2.46E-03	292	59	81.97	0.72
PIPs	BP	GO:0005975	carbohydrate metabolic process	1.23E-02	551	181	154.68	1.17
PIPs	BP	GO:0006091	generation of precursor metabolites and energy	8.71E-02	502	158	140.93	1.12
PIPs	BP	GO:0006766	vitamin metabolic process	1.60E-01	107	23	30.04	0.77
PIPs	BP	GO:0007005	mitochondrion organization	2.19E-01	484	148	135.87	1.09
PIPs	BP	GO:0055086	nucleobase-containing small molecule metabolic process	2.23E-01	729	190	204.65	0.93
PIPs	BP	GO:0006399	tRNA metabolic process	3.79E-01	196	49	55.02	0.89
PIPs	BP	GO:0098754	detoxification	5.01E-01	134	41	37.62	1.09
PIPs	BP	GO:0006629	lipid metabolic process	5.30E-01	1355	370	380.39	0.97
PIPs	BP	GO:0050877	nervous system process	6.56E-01	1527	421	428.68	0.98
PIPs	BP	GO:0007040	lysosome organization	6.67E-01	107	32	30.04	1.07
PrePPI	BP	GO:0006355	regulation of DNA-templated transcription	3.25E-208	3342	2132	1334.01	1.60
PrePPI	BP	GO:0012501	programmed cell death	9.76E-63	1954	1127	779.97	1.44
PrePPI	BP	GO:0048870	cell motility	2.34E-52	1659	956	662.22	1.44
PrePPI	BP	GO:0007155	cell adhesion	1.17E-47	1444	839	576.40	1.46
PrePPI	BP	GO:0034330	cell junction organization	1.14E-42	727	470	290.19	1.62
PrePPI	BP	GO:0050877	nervous system process	2.03E-40	1527	857	609.53	1.41
PrePPI	BP	GO:0002376	immune system process	8.58E-36	2448	1262	977.16	1.29
PrePPI	BP	GO:0007010	cytoskeleton organization	1.58E-32	1639	882	654.23	1.35
PrePPI	BP	GO:0016192	vesicle-mediated transport	1.16E-29	1894	987	756.02	1.31
PrePPI	BP	GO:0006886	intracellular protein transport	8.14E-27	664	400	265.05	1.51
PrePPI	BP	GO:0065003	protein-containing complex assembly	3.52E-26	1648	861	657.83	1.31
PrePPI	BP	GO:0030163	protein catabolic process	5.71E-25	990	552	395.17	1.40
PrePPI	BP	GO:0042060	wound healing	1.63E-23	431	274	172.04	1.59
PrePPI	BP	GO:0003012	muscle system process	8.65E-22	425	267	169.65	1.57
PrePPI	BP	GO:0007163	establishment or maintenance of cell polarity	3.00E-21	227	161	90.61	1.78
PrePPI	BP	GO:0016071	mRNA metabolic process	9.93E-20	713	403	284.61	1.42
PrePPI	BP	GO:0006913	nucleocytoplasmic transport	8.75E-19	326	209	130.13	1.61
PrePPI	BP	GO:0003013	circulatory system process	3.48E-15	584	326	233.11	1.40
PrePPI	BP	GO:0006954	inflammatory response	1.81E-14	820	434	327.32	1.33
PrePPI	BP	GO:0006325	chromatin organization	2.64E-14	720	387	287.40	1.35
PrePPI	BP	GO:0006914	autophagy	3.30E-12	568	308	226.73	1.36
PrePPI	BP	GO:0007059	chromosome segregation	1.07E-11	403	228	160.86	1.42
PrePPI	BP	GO:0006281	DNA repair	5.90E-11	587	312	234.31	1.33
PrePPI	BP	GO:0072659	protein localization to plasma membrane	2.98E-10	284	166	113.36	1.46
PrePPI	BP	GO:0006260	DNA replication	1.66E-09	279	161	111.37	1.45
PrePPI	BP	GO:0006486	protein glycosylation	3.73E-09	225	48	89.81	0.53
PrePPI	BP	GO:0000910	cytokinesis	2.58E-08	186	112	74.24	1.51
PrePPI	BP	GO:0002181	cytoplasmic translation	4.31E-08	153	95	61.07	1.56
PrePPI	BP	GO:0006790	sulfur compound metabolic process	1.37E-07	320	83	127.73	0.65
PrePPI	BP	GO:0032200	telomere organization	5.50E-07	186	108	74.24	1.45
PrePPI	BP	GO:0031047	regulatory ncRNA-mediated gene silencing	3.00E-06	119	73	47.50	1.54
PrePPI	BP	GO:0140053	mitochondrial gene expression	6.22E-06	164	38	65.46	0.58
PrePPI	BP	GO:0006310	DNA recombination	1.29E-05	333	172	132.92	1.29
PrePPI	BP	GO:0098542	defense response to other organism	1.31E-04	1171	530	467.42	1.13
PrePPI	BP	GO:0030198	extracellular matrix organization	1.91E-04	314	158	125.34	1.26
PrePPI	BP	GO:0006457	protein folding	4.88E-04	210	109	83.82	1.30
PrePPI	BP	GO:0003014	renal system process	5.28E-04	127	70	50.69	1.38
PrePPI	BP	GO:0006766	vitamin metabolic process	9.91E-04	107	26	42.71	0.61
PrePPI	BP	GO:0006575	cellular modified amino acid metabolic process	2.52E-03	186	54	74.24	0.73
PrePPI	BP	GO:0140013	meiotic nuclear division	4.52E-03	279	135	111.37	1.21
PrePPI	BP	GO:0022600	digestive system process	8.08E-03	110	58	43.91	1.32
PrePPI	BP	GO:0006520	amino acid metabolic process	9.55E-03	292	95	116.56	0.82
PrePPI	BP	GO:0042254	ribosome biogenesis	2.31E-02	297	138	118.55	1.16
PrePPI	BP	GO:0006399	tRNA metabolic process	3.99E-02	196	64	78.24	0.82
PrePPI	BP	GO:0055086	nucleobase-containing small molecule metabolic process	1.53E-01	729	272	290.99	0.93
PrePPI	BP	GO:0006629	lipid metabolic process	1.76E-01	1355	517	540.87	0.96
PrePPI	BP	GO:0006091	generation of precursor metabolites and energy	2.88E-01	502	212	200.38	1.06
PrePPI	BP	GO:0055085	transmembrane transport	3.74E-01	1784	730	712.11	1.03
PrePPI	BP	GO:0005975	carbohydrate metabolic process	5.37E-01	551	227	219.94	1.03
PrePPI	BP	GO:0007018	microtubule-based movement	6.52E-01	640	261	255.47	1.02
PrePPI	BP	GO:0098754	detoxification	6.59E-01	134	56	53.49	1.05
PrePPI	BP	GO:0044782	cilium organization	6.80E-01	399	155	159.27	0.97
PrePPI	BP	GO:0007005	mitochondrion organization	8.88E-01	484	195	193.20	1.01
PrePPI	BP	GO:0007040	lysosome organization	1.00E+00	107	43	42.71	1.01
PROPER	BP	GO:0050877	nervous system process	9.05E-81	1527	334	676.09	0.49
PROPER	BP	GO:0016071	mRNA metabolic process	1.64E-73	713	549	315.69	1.74
PROPER	BP	GO:0042254	ribosome biogenesis	2.23E-60	297	265	131.50	2.02
PROPER	BP	GO:0065003	protein-containing complex assembly	3.95E-53	1648	1026	729.67	1.41
PROPER	BP	GO:0006281	DNA repair	3.82E-51	587	437	259.90	1.68
PROPER	BP	GO:0007059	chromosome segregation	1.95E-47	403	319	178.43	1.79
PROPER	BP	GO:0006886	intracellular protein transport	3.98E-44	664	469	293.99	1.60
PROPER	BP	GO:0002181	cytoplasmic translation	2.78E-35	153	140	67.74	2.07
PROPER	BP	GO:0030163	protein catabolic process	8.76E-35	990	626	438.33	1.43
PROPER	BP	GO:0007005	mitochondrion organization	1.78E-32	484	342	214.30	1.60
PROPER	BP	GO:0006325	chromatin organization	5.61E-32	720	473	318.79	1.48
PROPER	BP	GO:0140053	mitochondrial gene expression	1.34E-29	164	142	72.61	1.96
PROPER	BP	GO:0006260	DNA replication	3.02E-29	279	215	123.53	1.74
PROPER	BP	GO:0007010	cytoskeleton organization	1.32E-28	1639	940	725.68	1.30
PROPER	BP	GO:0006913	nucleocytoplasmic transport	5.32E-24	326	234	144.34	1.62
PROPER	BP	GO:0016192	vesicle-mediated transport	3.28E-22	1894	1038	838.58	1.24
PROPER	BP	GO:0006914	autophagy	8.50E-20	568	358	251.49	1.42
PROPER	BP	GO:0006457	protein folding	3.43E-19	210	157	92.98	1.69
PROPER	BP	GO:0006399	tRNA metabolic process	2.26E-18	196	147	86.78	1.69
PROPER	BP	GO:0055085	transmembrane transport	5.95E-17	1784	624	789.88	0.79
PROPER	BP	GO:0006954	inflammatory response	8.76E-17	820	249	363.06	0.69
PROPER	BP	GO:0006310	DNA recombination	1.41E-16	333	222	147.44	1.51
PROPER	BP	GO:0012501	programmed cell death	1.44E-15	1954	1032	865.15	1.19
PROPER	BP	GO:0000910	cytokinesis	4.58E-15	186	135	82.35	1.64
PROPER	BP	GO:0032200	telomere organization	5.35E-14	186	133	82.35	1.61
PROPER	BP	GO:0055086	nucleobase-containing small molecule metabolic process	2.09E-13	729	420	322.77	1.30
PROPER	BP	GO:0006091	generation of precursor metabolites and energy	2.93E-11	502	296	222.26	1.33
PROPER	BP	GO:0007018	microtubule-based movement	4.89E-09	640	356	283.37	1.26
PROPER	BP	GO:0003013	circulatory system process	8.88E-08	584	196	258.57	0.76
PROPER	BP	GO:0007163	establishment or maintenance of cell polarity	1.26E-07	227	140	100.51	1.39
PROPER	BP	GO:0031047	regulatory ncRNA-mediated gene silencing	2.15E-07	119	81	52.69	1.54
PROPER	BP	GO:0006355	regulation of DNA-templated transcription	5.84E-07	3342	1610	1479.70	1.09
PROPER	BP	GO:0098542	defense response to other organism	7.07E-07	1171	437	518.47	0.84
PROPER	BP	GO:0044782	cilium organization	1.95E-06	399	224	176.66	1.27
PROPER	BP	GO:0072659	protein localization to plasma membrane	3.01E-05	284	161	125.74	1.28
PROPER	BP	GO:0003014	renal system process	6.80E-05	127	34	56.23	0.60
PROPER	BP	GO:0140013	meiotic nuclear division	9.60E-05	279	156	123.53	1.26
PROPER	BP	GO:0006520	amino acid metabolic process	1.07E-03	292	157	129.29	1.21
PROPER	BP	GO:0030198	extracellular matrix organization	1.31E-03	314	111	139.03	0.80
PROPER	BP	GO:0022600	digestive system process	1.38E-03	110	32	48.70	0.66
PROPER	BP	GO:0003012	muscle system process	3.00E-03	425	158	188.17	0.84
PROPER	BP	GO:0007040	lysosome organization	4.60E-03	107	62	47.38	1.31
PROPER	BP	GO:0002376	immune system process	5.57E-03	2448	1020	1083.87	0.94
PROPER	BP	GO:0006629	lipid metabolic process	2.14E-02	1355	559	599.94	0.93
PROPER	BP	GO:0007155	cell adhesion	4.71E-02	1444	603	639.34	0.94
PROPER	BP	GO:0048870	cell motility	3.38E-01	1659	716	734.54	0.97
PROPER	BP	GO:0006486	protein glycosylation	3.45E-01	225	107	99.62	1.07
PROPER	BP	GO:0034330	cell junction organization	3.81E-01	727	310	321.89	0.96
PROPER	BP	GO:0042060	wound healing	4.92E-01	431	198	190.83	1.04
PROPER	BP	GO:0098754	detoxification	6.01E-01	134	56	59.33	0.94
PROPER	BP	GO:0006790	sulfur compound metabolic process	6.50E-01	320	146	141.68	1.03
PROPER	BP	GO:0005975	carbohydrate metabolic process	6.95E-01	551	239	243.96	0.98
PROPER	BP	GO:0006766	vitamin metabolic process	6.97E-01	107	45	47.38	0.95
PROPER	BP	GO:0006575	cellular modified amino acid metabolic process	8.24E-01	186	84	82.35	1.02
ProteomeHD	BP	GO:0016071	mRNA metabolic process	2.51E-45	713	145	38.93	3.72
ProteomeHD	BP	GO:0065003	protein-containing complex assembly	3.85E-22	1648	185	89.98	2.06
ProteomeHD	BP	GO:0006886	intracellular protein transport	3.85E-15	664	89	36.25	2.46
ProteomeHD	BP	GO:0006913	nucleocytoplasmic transport	2.25E-13	326	54	17.80	3.03
ProteomeHD	BP	GO:0002181	cytoplasmic translation	2.98E-13	153	35	8.35	4.19
ProteomeHD	BP	GO:0050877	nervous system process	2.31E-12	1527	30	83.37	0.36
ProteomeHD	BP	GO:0007059	chromosome segregation	1.22E-11	403	58	22.00	2.64
ProteomeHD	BP	GO:0055086	nucleobase-containing small molecule metabolic process	3.23E-11	729	85	39.80	2.14
ProteomeHD	BP	GO:0006091	generation of precursor metabolites and energy	8.92E-11	502	65	27.41	2.37
ProteomeHD	BP	GO:0006281	DNA repair	1.12E-10	587	72	32.05	2.25
ProteomeHD	BP	GO:0007005	mitochondrion organization	2.79E-09	484	60	26.42	2.27
ProteomeHD	BP	GO:0030163	protein catabolic process	9.01E-09	990	98	54.05	1.81
ProteomeHD	BP	GO:0006399	tRNA metabolic process	2.53E-08	196	32	10.70	2.99
