Gene Set Group	Gene Set Name	Source	Gene List (NCBI Gene IDs)	
Literature	Squamous cell carcinoma of the hypopharynx	DisGeNET	"2048,1025,1543,26121,3082,10765,1021,3091,23583,6687,1576,5163,574507,23089,5170,3635,4170,1612,574031,596,102,3688,5743,627,6774,125,6275,2697,6282,9360,5781,100616349,5290,5291,7852,5293,5294,689,9402,652995,4804,23239,10456,217,2778,9447,107075310,9970,4851,6387,5879,7422,2305,7965,6947,25897,653108,2870,846,3925,1366,857,356,10598,64881,9076,1398,1401,9607,406932,407,1432,4513,1956,406948,64946,65975,5050,5573,29126,406983,406986,574411,7124,26073,5594,7132,7133,10206,5599,6624,8678,5609,574442,131566,7157,407030,1525,23035,80381"	
Literature	Squamous cell carcinoma of tongue	DisGeNET	"2048,100499467,8208,2065,2064,2066,2068,2071,2072,25,10265,6194,2046,378938,115482683,55366,2118,115482696,4171,51284,55384,115482713,30812,2146,115482723,102,112744,84073,8318,30849,10371,8324,51343,4255,6304,57509,177,182,4283,4292,2247,6348,6351,207,2258,768212,57556,2260,4312,4313,768219,114907,6364,768220,4317,6367,4318,2274,4323,6372,57573,2277,6382,6387,2296,2303,2305,6405,6416,2324,346389,51477,6422,290,10534,8487,100616495,55601,2355,28982,84289,10562,57669,8518,328,331,4436,6502,362,6513,8570,6523,382,387,55691,10642,406,27036,57761,10657,4513,2475,10671,8626,6581,80316,6591,340419,29126,467,472,55771,6624,8678,2535,10736,23028,440823,6648,90625,6657,4609,6667,442901,4646,442918,6696,6700,645682,6714,92737,8772,84549,581,595,596,574038,8793,8794,8795,10859,27250,627,6774,634,8828,8829,648,2697,8842,649,8850,23192,672,27303,158376,8874,682,8878,4790,6857,2771,10963,10970,4830,4831,10984,4843,90865,4851,494324,494333,494336,84740,6929,4881,2833,6935,8988,4920,836,643911,842,4939,117581,150353,54101,23383,857,864,7015,873,23405,9076,885,7030,7040,91010,693124,7049,2965,2966,2967,2968,923,11168,5030,2987,941,942,91056,23476,693178,7100,5052,958,693185,5058,967,693196,574413,9169,7124,5080,23512,7132,7133,990,23522,693219,574436,23524,999,693224,574441,574450,7155,3059,7157,9213,1029,3082,5133,3091,3098,3099,654364,23580,23583,619552,5156,5159,574514,1075,11335,3146,29780,102157401,353376,373863,9337,7291,5243,7298,9351,9370,3234,5290,5291,5293,5294,100506797,3248,64689,25782,29883,404672,5315,7376,5328,1234,1235,1236,9429,4316,100506844,554210,400619,7405,5358,3315,3316,1272,7422,7424,9474,25859,9475,7430,7431,1289,64778,3339,1290,388372,5396,3371,5420,29997,102464817,7474,7476,9547,50507,5460,1366,79192,9560,7515,3429,9575,1387,3437,3440,7543,1401,3456,406913,3458,406928,406931,406932,3480,406941,406947,406949,5547,9646,406959,406960,406971,406972,9662,130497,406979,406984,406986,406991,406993,1490,406996,5594,5595,5596,407004,100507098,407007,54751,1499,1506,407011,407012,407010,407014,3560,1513,407024,5617,407025,1523,3576,407035,9723,407037,642559,407040,3605,3606,163351,339479,140828,3627,3643,1605,56902,54858,1612,5715,3675,5725,3679,5728,65125,9830,3693,9839,1647,5743,56947,3702,50807,100126328,7812,83595,83596,100126351,50838,118429,7852,652995,100316868,5829,81620,55000,81631,3815,55016,107075310,101928687,50943,57120,3880,7984,10036,5947,51008,51014,5962,1869,3918,5965,51024,5970,401237,3958,79753,10123,8076,100302736,8091,1950,1956,1969,4018,4017,1977,51129,4040,1993,57291,4047,112597,6121,92140,2034,55287,4088,2042,55294"	
Literature	Stable angina	DisGeNET	"407040,3586,51206,4615,5130,9235,3605,1557,3606,8740,3627,5175,51271,1612,26191,3669,8792,102157402,1116,55902,53342,1636,3684,105375847,2152,10855,23659,4718,5744,627,6772,2167,7292,10365,55937,1666,6275,133,153,2209,3240,7852,5806,26291,4790,56005,197,84680,2249,6347,6352,54487,217,4314,4313,4318,4321,738,6376,4843,1773,90865,5362,6387,4852,1268,255738,2811,50943,1281,6402,6403,7941,7432,51477,790,7450,285,100505887,9507,64805,3383,10563,325,335,8529,5972,7515,348,3934,3439,1906,114548,3958,3447,26998,1401,4982,406906,3959,383,7040,406913,3458,3479,375704,56729,90523,5019,929,3491,1956,7076,11173,406947,4522,940,941,406958,5552,7097,7099,5054,960,5069,406991,406992,7124,7137,4068,3557,3558,3559,1000,3565,3567,5104,1520,3569,8692,4597,1524,3575,246778"	
Literature	Stage 0 Gallbladder Cancer AJCC v8	DisGeNET	"2048,51208,10,2064,2065,2068,100124700,100505633,2099,4152,378938,60,4171,112441427,4088,115482713,55384,2146,4194,51302,8313,8314,645249,6279,4236,150,10395,156,10397,155,4255,51366,2218,10413,182,183,4282,2237,4292,2248,207,208,57556,213,214,216,4313,6362,768220,4318,2277,6387,30968,2300,4350,2305,4363,2318,6416,346389,51478,10518,6424,6443,302,10553,6462,10562,324,6469,329,330,338,4436,4437,353,355,356,84335,27035,4513,55714,4524,80315,6596,29126,29128,8651,27086,6615,8664,6623,4583,101929447,27113,27122,27123,51701,2551,6649,506,100532731,80380,4605,4609,51741,442909,8737,442915,442917,6695,558,645682,567,6720,2627,4680,574034,596,2651,6750,627,6774,23158,8837,648,8842,2719,673,6820,27306,4780,8877,2735,10928,23239,6863,6869,6876,4830,8932,8935,4843,64241,2805,2810,768,84740,6938,23327,801,805,808,4907,4915,344887,11074,841,727897,11103,7015,4968,9076,885,886,889,891,2944,7040,693122,693120,2947,2950,7048,2952,7052,7057,693155,7076,7077,5036,11186,23476,7097,7099,11197,960,7124,993,5091,574447,619505,7157,7159,1017,7161,7163,3068,1021,3065,1026,1028,1029,3082,7178,1036,3091,7187,1045,9235,1048,3099,3105,3106,3107,101241892,23587,5163,1071,7216,724033,23635,5228,5230,5241,5243,5245,81037,9360,5268,1192,5290,5291,5292,5293,5294,5300,404663,7351,25792,5313,5315,9420,1234,1236,7386,3320,5371,7421,7422,7424,3329,646405,7431,7436,7439,100885779,25890,54567,9522,93492,5428,140609,56648,56649,56652,79187,7508,5460,1366,3417,7515,1378,7543,1401,5514,406927,406935,406937,26011,1440,54700,406958,406979,5581,406989,1490,5594,5595,1499,5599,407008,9696,407018,3569,407026,407029,407033,407035,407039,407040,642559,3586,3589,1543,1545,83478,7704,5660,1581,1586,54843,3655,9817,1630,5728,54888,9834,3692,5743,3717,153222,54941,56996,100507316,5820,652995,7903,26354,1786,3838,3845,9997,3880,1843,8000,10058,3925,3927,1890,3939,3952,3953,10114,26499,79751,59272,3977,83856,55193,6041,8091,26524,1950,1956,1977,4026,6093,79823,677841,112597,2014,4070,4072,6128,2040,51196"	
Literature	Stage IIA Gallbladder Cancer AJCC v8	DisGeNET	"2048,51208,10,2064,2065,2068,100124700,100505633,2099,4152,378938,60,4171,112441427,4088,115482713,55384,2146,4194,51302,8313,8314,645249,6279,4236,150,10395,156,10397,155,4255,51366,2218,10413,182,183,4282,2237,4292,2248,207,208,57556,213,214,216,4313,6362,768220,4318,2277,6387,30968,2300,4350,2305,4363,2318,6416,346389,51478,10518,6424,6443,302,10553,6462,10562,324,6469,329,330,338,4436,4437,353,355,356,84335,27035,4513,55714,4524,80315,6596,29126,29128,8651,27086,6615,8664,6623,4583,101929447,27113,27122,27123,51701,2551,6649,506,100532731,80380,4605,4609,51741,442909,8737,442915,442917,6695,558,645682,567,6720,2627,4680,574034,596,2651,6750,627,6774,23158,8837,648,8842,2719,673,6820,27306,4780,8877,2735,10928,23239,6863,6869,6876,4830,8932,8935,4843,64241,2805,2810,768,84740,6938,23327,801,805,808,4907,4915,344887,11074,841,727897,11103,7015,4968,9076,885,886,889,891,2944,7040,693122,693120,2947,2950,7048,2952,7052,7057,693155,7076,7077,5036,11186,23476,7097,7099,11197,960,7124,993,5091,574447,619505,7157,7159,1017,7161,7163,3068,1021,3065,1026,1028,1029,3082,7178,1036,3091,7187,1045,9235,1048,3099,3105,3106,3107,101241892,23587,5163,1071,7216,724033,23635,5228,5230,5241,5243,5245,81037,9360,5268,1192,5290,5291,5292,5293,5294,5300,404663,7351,25792,5313,5315,9420,1234,1236,7386,3320,5371,7421,7422,7424,3329,646405,7431,7436,7439,100885779,25890,54567,9522,93492,5428,140609,56648,56649,56652,79187,7508,5460,1366,3417,7515,1378,7543,1401,5514,406927,406935,406937,26011,1440,54700,406958,406979,5581,406989,1490,5594,5595,1499,5599,407008,9696,407018,3569,407026,407029,407033,407035,407039,407040,642559,3586,3589,1543,1545,83478,7704,5660,1581,1586,54843,3655,9817,1630,5728,54888,9834,3692,5743,3717,153222,54941,56996,100507316,5820,652995,7903,26354,1786,3838,3845,9997,3880,1843,8000,10058,3925,3927,1890,3939,3952,3953,10114,26499,79751,59272,3977,83856,55193,6041,8091,26524,1950,1956,1977,4026,6093,79823,677841,112597,2014,4070,4072,6128,2040,51196"	
Literature	Stage IIB Gallbladder Cancer AJCC v8	DisGeNET	"2048,51208,10,2064,2065,2068,100124700,100505633,2099,4152,378938,60,4171,112441427,4088,115482713,55384,2146,4194,51302,8313,8314,645249,6279,4236,150,10395,156,10397,155,4255,51366,2218,10413,182,183,4282,2237,4292,2248,207,208,57556,213,214,216,4313,6362,768220,4318,2277,6387,30968,2300,4350,2305,4363,2318,6416,346389,51478,10518,6424,6443,302,10553,6462,10562,324,6469,329,330,338,4436,4437,353,355,356,84335,27035,4513,55714,4524,80315,6596,29126,29128,8651,27086,6615,8664,6623,4583,101929447,27113,27122,27123,51701,2551,6649,506,100532731,80380,4605,4609,51741,442909,8737,442915,442917,6695,558,645682,567,6720,2627,4680,574034,596,2651,6750,627,6774,23158,8837,648,8842,2719,673,6820,27306,4780,8877,2735,10928,23239,6863,6869,6876,4830,8932,8935,4843,64241,2805,2810,768,84740,6938,23327,801,805,808,4907,4915,344887,11074,841,727897,11103,7015,4968,9076,885,886,889,891,2944,7040,693122,693120,2947,2950,7048,2952,7052,7057,693155,7076,7077,5036,11186,23476,7097,7099,11197,960,7124,993,5091,574447,619505,7157,7159,1017,7161,7163,3068,1021,3065,1026,1028,1029,3082,7178,1036,3091,7187,1045,9235,1048,3099,3105,3106,3107,101241892,23587,5163,1071,7216,724033,23635,5228,5230,5241,5243,5245,81037,9360,5268,1192,5290,5291,5292,5293,5294,5300,404663,7351,25792,5313,5315,9420,1234,1236,7386,3320,5371,7421,7422,7424,3329,646405,7431,7436,7439,100885779,25890,54567,9522,93492,5428,140609,56648,56649,56652,79187,7508,5460,1366,3417,7515,1378,7543,1401,5514,406927,406935,406937,26011,1440,54700,406958,406979,5581,406989,1490,5594,5595,1499,5599,407008,9696,407018,3569,407026,407029,407033,407035,407039,407040,642559,3586,3589,1543,1545,83478,7704,5660,1581,1586,54843,3655,9817,1630,5728,54888,9834,3692,5743,3717,153222,54941,56996,100507316,5820,652995,7903,26354,1786,3838,3845,9997,3880,1843,8000,10058,3925,3927,1890,3939,3952,3953,10114,26499,79751,59272,3977,83856,55193,6041,8091,26524,1950,1956,1977,4026,6093,79823,677841,112597,2014,4070,4072,6128,2040,51196"	
Literature	Stage III Gallbladder Cancer AJCC v8	DisGeNET	"2048,51208,10,2064,2065,2068,100124700,100505633,2099,4152,378938,60,4171,112441427,4088,115482713,55384,2146,4194,51302,8313,8314,645249,6279,4236,150,10395,156,10397,155,4255,51366,2218,10413,182,183,4282,2237,4292,2248,207,208,57556,213,214,216,4313,6362,768220,4318,2277,6387,30968,2300,4350,2305,4363,2318,6416,346389,51478,10518,6424,6443,302,10553,6462,10562,324,6469,329,330,338,4436,4437,353,355,356,84335,27035,4513,55714,4524,80315,6596,29126,29128,8651,27086,6615,8664,6623,4583,101929447,27113,27122,27123,51701,2551,6649,506,100532731,80380,4605,4609,51741,442909,8737,442915,442917,6695,558,645682,567,6720,2627,4680,574034,596,2651,6750,627,6774,23158,8837,648,8842,2719,673,6820,27306,4780,8877,2735,10928,23239,6863,6869,6876,4830,8932,8935,4843,64241,2805,2810,768,84740,6938,23327,801,805,808,4907,4915,344887,11074,841,727897,11103,7015,4968,9076,885,886,889,891,2944,7040,693122,693120,2947,2950,7048,2952,7052,7057,693155,7076,7077,5036,11186,23476,7097,7099,11197,960,7124,993,5091,574447,619505,7157,7159,1017,7161,7163,3068,1021,3065,1026,1028,1029,3082,7178,1036,3091,7187,1045,9235,1048,3099,3105,3106,3107,101241892,23587,5163,1071,7216,724033,23635,5228,5230,5241,5243,5245,81037,9360,5268,1192,5290,5291,5292,5293,5294,5300,404663,7351,25792,5313,5315,9420,1234,1236,7386,3320,5371,7421,7422,7424,3329,646405,7431,7436,7439,100885779,25890,54567,9522,93492,5428,140609,56648,56649,56652,79187,7508,5460,1366,3417,7515,1378,7543,1401,5514,406927,406935,406937,26011,1440,54700,406958,406979,5581,406989,1490,5594,5595,1499,5599,407008,9696,407018,3569,407026,407029,407033,407035,407039,407040,642559,3586,3589,1543,1545,83478,7704,5660,1581,1586,54843,3655,9817,1630,5728,54888,9834,3692,5743,3717,153222,54941,56996,100507316,5820,652995,7903,26354,1786,3838,3845,9997,3880,1843,8000,10058,3925,3927,1890,3939,3952,3953,10114,26499,79751,59272,3977,83856,55193,6041,8091,26524,1950,1956,1977,4026,6093,79823,677841,112597,2014,4070,4072,6128,2040,51196"	
Literature	Stage IV Gallbladder Cancer AJCC v8	DisGeNET	"2048,51208,10,2064,2065,2068,100124700,100505633,2099,4152,378938,60,4171,112441427,4088,115482713,55384,2146,4194,51302,8313,8314,645249,6279,4236,150,10395,156,10397,155,4255,51366,2218,10413,182,183,4282,2237,4292,2248,207,208,57556,213,214,216,4313,6362,768220,4318,2277,6387,30968,2300,4350,2305,4363,2318,6416,346389,51478,10518,6424,6443,302,10553,6462,10562,324,6469,329,330,338,4436,4437,353,355,356,84335,27035,4513,55714,4524,80315,6596,29126,29128,8651,27086,6615,8664,6623,4583,101929447,27113,27122,27123,51701,2551,6649,506,100532731,80380,4605,4609,51741,442909,8737,442915,442917,6695,558,645682,567,6720,2627,4680,574034,596,2651,6750,627,6774,23158,8837,648,8842,2719,673,6820,27306,4780,8877,2735,10928,23239,6863,6869,6876,4830,8932,8935,4843,64241,2805,2810,768,84740,6938,23327,801,805,808,4907,4915,344887,11074,841,727897,11103,7015,4968,9076,885,886,889,891,2944,7040,693122,693120,2947,2950,7048,2952,7052,7057,693155,7076,7077,5036,11186,23476,7097,7099,11197,960,7124,993,5091,574447,619505,7157,7159,1017,7161,7163,3068,1021,3065,1026,1028,1029,3082,7178,1036,3091,7187,1045,9235,1048,3099,3105,3106,3107,101241892,23587,5163,1071,7216,724033,23635,5228,5230,5241,5243,5245,81037,9360,5268,1192,5290,5291,5292,5293,5294,5300,404663,7351,25792,5313,5315,9420,1234,1236,7386,3320,5371,7421,7422,7424,3329,646405,7431,7436,7439,100885779,25890,54567,9522,93492,5428,140609,56648,56649,56652,79187,7508,5460,1366,3417,7515,1378,7543,1401,5514,406927,406935,406937,26011,1440,54700,406958,406979,5581,406989,1490,5594,5595,1499,5599,407008,9696,407018,3569,407026,407029,407033,407035,407039,407040,642559,3586,3589,1543,1545,83478,7704,5660,1581,1586,54843,3655,9817,1630,5728,54888,9834,3692,5743,3717,153222,54941,56996,100507316,5820,652995,7903,26354,1786,3838,3845,9997,3880,1843,8000,10058,3925,3927,1890,3939,3952,3953,10114,26499,79751,59272,3977,83856,55193,6041,8091,26524,1950,1956,1977,4026,6093,79823,677841,112597,2014,4070,4072,6128,2040,51196"	
Literature	Status Epilepticus	DisGeNET	"55297,2,2056,2057,2066,10263,284697,57369,4133,40,43,6194,60,115482693,115482705,30820,2149,8294,102,653423,6261,57468,132,135,6280,6285,729230,142,10407,8360,8361,8362,8359,8363,8365,8366,8364,51374,8367,8368,6323,8370,57526,6334,199,2247,6347,221391,207,213,55511,145624,4314,4318,4322,100128998,8445,4353,2324,22809,28956,2332,10533,301,10563,10598,6506,6513,8562,6531,4485,6558,4513,4520,22953,2475,6572,8626,51639,6611,8682,2550,266743,6648,2551,2557,4615,6667,55824,6683,2596,2597,6722,2641,596,6750,100125288,8811,2670,627,6773,6774,23164,643,2695,2697,197259,2705,8851,8856,4760,121504,2729,10923,4780,6833,2740,706,710,6855,6857,6869,27352,728,4842,4843,6898,2805,794,11035,796,23334,8999,2864,2869,836,11076,2890,2891,847,2896,2902,2903,2904,11096,11102,2915,4967,23410,2932,7048,7057,5023,5024,5025,5026,5027,5028,5029,9127,942,7098,7099,54207,960,11202,5066,574411,7124,23523,9189,7157,11255,3065,1019,1020,1029,1031,7189,9242,5159,1072,23604,7222,7225,3146,11343,7248,7249,11346,3162,5243,7301,9360,9361,78999,9372,7329,5290,5291,5293,5294,7345,64689,9402,7357,3272,5321,9429,7389,7402,3308,3315,1268,1269,7422,7424,7432,9507,25897,54577,54578,9521,5428,9536,5443,554313,50507,100689229,3434,1387,1398,1400,3456,54658,5515,406924,1432,406938,1436,406947,406963,406986,54732,406991,26073,5594,5595,407004,5599,3552,3553,5602,407010,9701,3557,3565,3569,1535,3586,54795,3596,407053,140821,3605,54822,1588,5700,3654,9817,5728,3684,7781,5732,65125,1641,5743,5745,1649,56975,5781,3737,81565,9900,3760,3763,3766,5816,3776,1734,3785,1742,100533970,1756,55004,79581,57060,7915,107075310,3827,55054,1808,1813,1815,7965,5923,7975,122664,79680,5956,10059,5970,5976,3934,100302692,1901,3952,51079,3984,1949,1958,1960,10168,1977,79813,59341,2011,55288,10238"	
Literature	Steroid Sulfatase Deficiency Disease	DisGeNET	"2048,407041,2050,4609,3075,1029,8201,5133,2064,2067,2068,3091,2073,23583,5156,8743,6696,9768,65078,5175,2130,596,8789,1111,115482713,7263,5728,4193,4194,53347,8804,6757,10855,6760,1647,6770,23158,9846,6774,5243,5244,7298,8837,2185,8842,650,142,1678,3730,4255,672,673,675,5290,5291,27306,5293,5294,5296,3248,1717,4286,57534,4288,3265,4292,54471,54474,6347,5325,207,3791,6354,2260,213,10966,4313,1756,10460,4830,4318,554210,3815,6376,238,90865,3315,55027,3316,110806263,7422,50943,768,7424,7430,7431,4360,7432,2312,4363,3342,1302,5914,8988,727837,4893,5923,5424,2353,7474,308,100653366,3902,101927746,3394,836,3912,4436,55124,64344,8549,7015,406891,3956,145270,1401,2938,8061,7040,7051,29072,7056,3479,100302232,3481,4507,8091,925,1950,1437,406943,412,931,1956,7077,7076,2475,5037,11186,1464,5054,653247,960,961,11200,29126,1991,6598,968,5579,406992,466,7124,406997,983,339929,5594,1499,5599,3553,995,4582,3052,55789,5104,3569,7153,2034,7157,23542,2040"	
Literature	Steroid resistant nephrotic syndrome of childhood	DisGeNET	"3458,4868,1285,9863,4363,8850,2195,7827,411,1950,928,57122,4643,57510,8874,2987,3117,79661,8879,64689,50485,4790,23607,10677,7225,4282,51002,51004,57017,79934,8766,51008,958,7490,710,3913,6857,55243,8270,84942,81,791122,5970,5076,213,4437,7124,9688,112858,286204,55644,8542,2908,4194,27235,1636,54885,3558,115482723,998,23523,65125,3565,23279,1906,10229,23158,3066,5243,51196,23165"	
Literature	Steroid-resistant nephrotic syndrome	DisGeNET	"3458,4868,1285,9863,4363,8850,2195,7827,411,1950,928,57122,4643,57510,8874,2987,3117,79661,8879,64689,50485,4790,23607,10677,7225,4282,51002,51004,57017,79934,8766,51008,958,7490,710,3913,6857,55243,8270,84942,81,791122,5970,5076,213,4437,7124,9688,112858,286204,55644,8542,2908,4194,27235,1636,54885,3558,115482723,998,23523,65125,3565,23279,1906,10229,23158,3066,5243,51196,23165"	
Literature	"Stress, Psychological"	DisGeNET	"27136,9734,7175,23049,28,4128,545,3620,3110,551,8743,552,43,2099,51763,1589,387129,4155,3664,113235,4691,55894,9817,6746,1113,23135,8288,1636,9320,1641,780904,4204,5741,624,4210,627,116,117,414325,10882,6279,4240,2194,150,153,154,667,8864,84650,4780,3763,7349,4790,183,4792,9402,4803,118471,6347,6863,5327,5328,4306,4820,27349,3290,3291,79068,7389,4318,225,6886,100128998,4846,9456,2289,4851,4852,1268,110806262,26871,10488,1786,1789,4353,775,7432,268,3855,7442,276,1813,1814,278,790,793,1815,277,3356,7965,10014,3358,1312,3361,3359,288,1316,805,79648,801,808,25897,1325,1844,6462,5443,7494,2892,104909134,847,6992,5972,51540,2902,6999,2904,25945,3929,348,2908,112476,351,2915,10598,6505,619373,3952,57713,1394,23411,1395,3956,1392,1398,1393,1401,4986,889,4988,4985,1906,7035,3458,6532,51083,5015,1432,27034,5021,2932,406947,796,6566,114088,8624,10163,7097,7098,7099,121278,5054,1475,966,5578,5579,406989,6094,406991,79823,51667,2004,2332,4054,3350,7124,26073,5594,5595,3351,5599,3552,3553,5617,3569,1012,2551,3065,2555,2559"	
Literature	Stromal Neoplasm	DisGeNET	"6662,3082,3600,3091,3604,6678,23583,5156,8744,1081,1082,60,2120,596,90,5743,9332,6778,7291,8842,2191,3219,2195,668,10397,673,2735,690,29893,54474,6347,10963,79577,4318,3815,9968,7421,7422,1803,3342,57104,1301,6935,7450,6427,2335,57124,9518,4916,3385,22846,25932,55628,857,23405,9582,367,4982,7040,10631,29072,406933,1435,94115,1956,7076,931,10155,947,9141,1462,961,29126,1490,978,467,1499,93659,4072,4585,2028,7157,4086,4089,3579,80380"	
Literature	Subarachnoid Hemorrhage	DisGeNET	"2048,2056,12,2066,19,284697,28,2081,57380,4133,10276,4141,4142,4155,4157,10307,51284,4184,55384,2147,51299,2149,2152,4210,6261,4217,6271,133,2185,4233,10379,6283,6285,729230,6296,2214,2215,2219,10413,2224,177,183,185,4282,187,4283,2242,199,2247,6347,8398,207,208,84174,2258,2260,6357,2261,213,4312,4313,4314,217,4316,4318,4319,4321,100128998,4335,6390,246,51450,4350,4353,6403,2309,147719,4360,6414,284,84271,2358,310,6462,329,331,260431,348,51548,351,8547,358,10598,361,6513,8562,10613,340348,4481,10628,4485,10631,22926,29072,6548,2475,4524,80316,2494,468,57817,340451,8678,8682,6647,2551,6648,8698,10747,6652,4609,4615,27152,8720,442898,4638,8737,2596,8742,551,6696,219699,6709,8788,596,2648,6749,55901,23135,55906,10855,2670,100287087,627,6774,633,23162,23164,64132,4744,2697,84619,197259,4747,8862,10911,283297,641700,2729,4780,10928,6833,2740,2744,706,6853,6857,27342,727,27352,728,6885,4843,4846,10993,90865,4851,4852,6898,6907,11035,8988,796,8991,2852,9001,58157,2875,4925,831,64321,834,836,841,842,2890,4948,11093,2904,7001,2911,7009,2921,875,4973,23410,23411,2932,7035,84864,693124,23435,7054,7056,5027,7076,7078,7082,948,952,7097,7098,7099,5052,5054,960,54210,7108,968,102724560,7122,7124,112935892,7132,693215,7137,7157,5110,5122,3084,7182,7186,5141,7189,1050,23583,7200,3105,100506658,9252,5159,574504,23604,11331,3146,3162,9314,1131,7276,54386,9332,9370,1191,3240,5290,5291,5293,5294,64689,7351,7352,9402,7357,5310,25791,3263,5319,5320,5327,9423,5333,7386,7402,3308,3309,7408,3315,3316,7412,5364,3320,7421,7422,1281,9474,9475,1284,79109,54535,7432,54541,5396,7448,7450,100033819,25897,3371,7471,3383,50507,1365,5468,106480993,9575,100302187,3439,7538,1398,3447,1400,1401,1408,406921,1421,5524,406935,1432,3479,79258,406937,1437,3491,406948,406959,54704,286133,126393,5562,5563,5564,26060,406989,406991,1490,26073,5594,5595,407004,1499,407006,5599,3552,3553,407012,3557,5604,1511,91624,5609,3569,3570,1524,407029,3574,3576,65018,1536,3586,54795,5648,3605,3606,140823,9759,9768,1576,3627,3654,7750,1613,24145,1621,9817,1628,1632,5728,1636,7781,65125,5734,1641,7786,3690,5742,5743,1649,5747,3710,1666,3717,26253,55291,7852,7873,81618,1757,83696,65268,55034,5891,7941,151306,5906,10011,7965,1839,55109,57162,10059,3916,1869,3918,79697,5970,5972,3934,5987,1901,1906,114548,1909,3958,1910,59272,3984,6046,1950,83871,6051,1956,1958,10153,100616112,10166,8128,4043,6098,59350,2006,2022,2026,2043"	
Literature	Subfertility	DisGeNET	"12,219670,28,619552,3105,619554,84519,8755,345651,1588,1080,10297,570,3135,11332,71,72,2641,7762,440915,7761,8284,4193,2661,100125288,10857,255101,133,655,676,6822,10413,687,26291,2740,181,10424,5324,114899,6870,81623,3292,4318,3814,9457,4352,2308,389383,1803,268,1811,5919,122664,7473,5428,50511,9048,6496,113510,367,3952,7535,3973,4488,5015,6046,929,406947,407975,4524,641455,63922,7099,2492,3516,960,79813,406985,150483,3552,3553,9698,407010,3557,9210,5116"	
Literature	Superficial ulcer	DisGeNET	"146433,3586,4099,6660,9733,1029,1540,7173,5130,8718,407056,528,23569,9235,3091,3605,8725,6678,24,5657,7185,1052,29,28,23583,545,3106,152100,3109,51750,6696,65065,4650,3115,3627,3117,49,23601,3123,2099,27190,3127,4153,6717,51266,55364,3654,57419,3663,26191,4179,8792,3673,53342,282618,101,2150,1131,5743,6774,6779,64127,10370,5251,3717,6279,6280,26762,729230,56979,9370,150684,10912,672,4772,5290,8877,57522,690,4791,3258,3263,706,6850,84164,56005,326342,199,196,6348,2768,8914,6355,57556,2776,4313,4314,4312,1756,4317,4318,29919,6366,4322,4323,3813,9966,107075310,149233,25842,4851,7412,1265,2296,3320,7421,4350,7422,50943,3329,5890,100187907,8600,7431,5897,1803,7439,79631,9722,1308,22813,1311,91937,388389,1830,129831,9518,9519,7984,23347,5428,6452,822,10563,841,56652,4940,1360,1366,7001,6490,7515,348,4956,7014,5478,7015,51561,30061,401262,4975,8048,368,9076,4982,374,1401,57727,7040,3458,3459,3460,7045,100630918,10631,1421,5008,7057,7058,100500882,3479,91544,406937,27032,27035,1435,26525,1950,22943,414,406938,4513,930,27044,7076,3491,406953,406958,6583,3001,7097,11197,22974,960,6595,9156,6597,3014,5063,968,4041,8140,406991,147409,112935892,1493,7124,472,5595,2012,3551,3552,3553,407008,407010,1508,3557,4580,2023,3560,1513,3565,3566,407021,3569,4594,1523,7157,3574,3576,246778,7167"	
Literature	Synovial Cyst	DisGeNET	"2048,10243,4615,10763,19,94233,9242,1051,4653,2099,1081,1082,23101,1627,610,2668,23152,51312,627,2697,142,4780,706,4803,6855,3785,6863,221391,4318,3297,8929,3303,3304,3308,5362,57084,5376,4359,3342,4882,7442,1302,6423,794,796,1827,4908,301,348980,30012,836,5457,56659,2903,2904,3416,860,2915,875,4988,6529,1415,393,6538,6540,7054,10133,406937,7070,94115,406947,23471,80312,7099,54207,346562,6597,5578,102724560,7124,5594,5595,93659,6623,5621,2551,1020"	
Literature	Systemic Inflammatory Response Syndrome	DisGeNET	"1536,1025,3586,9730,3075,8710,3082,8205,23569,284697,286749,6687,8737,23601,2099,4153,4157,27202,3146,5196,3162,23643,1116,6750,6238,5728,9825,10850,2147,100038246,2152,6248,3688,116843,6252,3689,5741,4210,8829,64127,1154,81030,78989,5265,154,9372,27295,671,2209,3240,5290,5291,4780,173,5806,5294,5293,3762,181,4790,5304,6336,3267,23237,3273,6347,213,728,217,5340,7389,79585,3303,89832,3304,2282,2283,2284,2285,3308,2280,90865,9970,3320,250,29949,6401,6402,6404,7432,3338,338699,4879,57620,80150,11035,11036,11037,1822,6943,6430,796,7462,84268,653108,2357,100505909,823,3383,57142,833,834,10563,9541,329,846,3918,9048,1369,54106,2908,3934,5473,354,8547,10085,5478,1896,92521,2922,10603,3952,22900,114548,2934,51573,1401,3458,7056,5009,22933,406935,407,1437,4512,929,406948,940,26033,406966,7097,9146,7099,55226,5054,6590,51135,5573,29126,4049,7124,470,7128,3035,100616157,10206,3552,7137,3553,407011,9701,3557,3565,3569,1525,2551,3576,3577,10747"	
