,ptm,iptm,Model,Pair_str,model_conf,Background
4,0.51,0.21,4,149603_254552,0.27,All random
2,0.27,0.27,2,200081_11016,0.27,All random
4,0.47,0.22,4,3727_2968,0.27,All random
3,0.39,0.24,3,10788_120534,0.27,All random
4,0.59,0.19,4,2968_100505876,0.27,All random
4,0.31,0.26,4,3397_54762,0.27,All random
1,0.51,0.21,1,8841_409,0.27,All random
4,0.47,0.22,4,1808_120,0.27,All random
4,0.51,0.21,4,4089_84067,0.27,All random
1,0.51,0.21,1,10799_409,0.27,All random
0,0.47,0.22,0,55357_50617,0.27,All random
4,0.67,0.17,4,3658_1666,0.27,All random
1,0.59,0.19,1,6776_10239,0.27,All random
4,0.47,0.22,4,9147_10468,0.27,All random
4,0.55,0.2,4,162_7323,0.27,All random
0,0.55,0.2,0,3725_9131,0.27,All random
0,0.67,0.17,0,3704_1808,0.27,All random
2,0.5,0.21,2,26100_653333,0.268,All random
3,0.5,0.21,3,9100_10940,0.268,All random
4,0.38,0.24,4,27102_51704,0.268,All random
0,0.46,0.22,0,3298_5160,0.268,All random
2,0.38,0.24,2,83860_245972,0.268,All random
2,0.62,0.18,2,80145_80349,0.268,All random
2,0.3,0.26,2,79871_51759,0.268,All random
4,0.42,0.23,4,55142_9204,0.268,All random
2,0.62,0.18,2,23532_83608,0.268,All random
2,0.54,0.2,2,2794_26499,0.268,All random
3,0.54,0.2,3,2319_114781,0.268,All random
2,0.62,0.18,2,54069_93973,0.268,All random
2,0.5,0.21,2,55135_1022,0.268,All random
0,0.5,0.21,0,3032_1663,0.268,All random
1,0.54,0.2,1,51668_8662,0.268,All random
4,0.38,0.24,4,159195_5859,0.268,All random
1,0.54,0.2,1,2961_528,0.268,All random
1,0.66,0.17,1,102157402_10095,0.268,All random
3,0.41,0.23,3,7322_64689,0.266,All random
1,0.21,0.28,1,23468_57507,0.266,All random
0,0.25,0.27,0,80223_9403,0.266,All random
4,0.45,0.22,4,10227_112574,0.266,All random
3,0.41,0.23,3,57805_10043,0.266,All random
4,0.57,0.19,4,9632_7881,0.266,All random
1,0.53,0.2,1,25809_54785,0.266,All random
3,0.45,0.22,3,4548_64651,0.266,All random
1,0.45,0.22,1,55839_112939,0.266,All random
1,0.29,0.26,1,93643_6617,0.266,All random
1,0.49,0.21,1,54821_138716,0.266,All random
4,0.33,0.25,4,4170_7936,0.266,All random
0,0.45,0.22,0,5137_4548,0.266,All random
3,0.61,0.18,3,55188_54472,0.266,All random
4,0.53,0.2,4,5603_528,0.266,All random
4,0.37,0.24,4,10379_2671,0.266,All random
2,0.33,0.25,2,81839_55339,0.266,All random
4,0.53,0.2,4,523_163702,0.266,All random
4,0.41,0.23,4,79980_64403,0.266,All random
2,0.6,0.18,2,5121_54205,0.264,All random
1,0.48,0.21,1,9586_29015,0.264,All random
0,0.48,0.21,0,11158_80143,0.264,All random
0,0.44,0.22,0,8436_64743,0.264,All random
3,0.52,0.2,3,102157402_2967,0.264,All random
2,0.4,0.23,2,26127_96764,0.264,All random
3,0.32,0.25,3,989_5514,0.264,All random
0,0.48,0.21,0,60436_27097,0.264,All random
4,0.44,0.22,4,4548_4528,0.264,All random
1,0.56,0.19,1,89978_80143,0.264,All random
0,0.56,0.19,0,162_131076,0.264,All random
2,0.6,0.18,2,56267_2720,0.264,All random
0,0.48,0.21,0,112574_58493,0.264,All random
3,0.44,0.22,3,55142_84959,0.264,All random
3,0.32,0.25,3,11099_64793,0.264,All random
3,0.4,0.23,3,5971_57646,0.264,All random
3,0.44,0.22,3,527_10492,0.264,All random
3,0.6,0.18,3,199692_2720,0.264,All random
0,0.36,0.24,0,27335_54443,0.264,All random
1,0.48,0.21,1,57665_64121,0.264,All random
0,0.35,0.24,0,163071_56257,0.262,All random
3,0.59,0.18,3,5566_89978,0.262,All random
0,0.43,0.22,0,151963_114884,0.262,All random
0,0.43,0.22,0,3725_5871,0.262,All random
3,0.43,0.22,3,55341_64743,0.262,All random
1,0.35,0.24,1,7090_8986,0.262,All random
3,0.51,0.2,3,5160_6871,0.262,All random
1,0.47,0.21,1,9701_246243,0.262,All random
0,0.35,0.24,0,6497_5097,0.262,All random
1,0.43,0.22,1,2968_387032,0.262,All random
3,0.55,0.19,3,50614_1917,0.262,All random
2,0.39,0.23,2,11016_9204,0.262,All random
2,0.51,0.2,2,93343_409,0.262,All random
0,0.23,0.27,0,2969_10248,0.262,All random
1,0.43,0.22,1,10087_58493,0.262,All random
2,0.34,0.24,2,7074_8563,0.26,All random
2,0.54,0.19,2,54331_657,0.26,All random
1,0.46,0.21,1,10036_23274,0.26,All random
3,0.46,0.21,3,8161_23597,0.26,All random
2,0.5,0.2,2,8663_115207,0.26,All random
0,0.5,0.2,0,54468_245972,0.26,All random
3,0.42,0.22,3,10048_528,0.26,All random
4,0.34,0.24,4,7074_1471,0.26,All random
1,0.34,0.24,1,27296_51501,0.26,All random
2,0.5,0.2,2,376267_90864,0.26,All random
2,0.3,0.25,2,79657_4246,0.26,All random
3,0.34,0.24,3,10036_23564,0.26,All random
2,0.5,0.2,2,2783_151393,0.26,All random
2,0.42,0.22,2,9100_81577,0.26,All random
2,0.34,0.24,2,220001_56134,0.26,All random
3,0.5,0.2,3,50614_55975,0.26,All random
2,0.42,0.22,2,8841_904,0.26,All random
1,0.42,0.22,1,4141_11099,0.26,All random
0,0.34,0.24,0,11044_54443,0.26,All random
4,0.5,0.2,4,5971_93973,0.26,All random
0,0.38,0.23,0,3720_7216,0.26,All random
2,0.46,0.21,2,10379_8550,0.26,All random
0,0.3,0.25,0,334_7917,0.26,All random
1,0.5,0.2,1,124401_93100,0.26,All random
4,0.5,0.2,4,2734_5885,0.26,All random
2,0.34,0.24,2,55135_57509,0.26,All random
2,0.41,0.22,2,10788_6385,0.258,All random
4,0.65,0.16,4,1514_28972,0.258,All random
4,0.49,0.2,4,23564_573,0.258,All random
4,0.41,0.22,4,55100_3297,0.258,All random
4,0.41,0.22,4,55112_64121,0.258,All random
2,0.45,0.21,2,6776_6497,0.258,All random
3,0.37,0.23,3,83699_2073,0.258,All random
0,0.41,0.22,0,2058_23468,0.258,All random
2,0.57,0.18,2,59345_6738,0.258,All random
2,0.53,0.19,2,23274_7881,0.258,All random
3,0.41,0.22,3,8798_5885,0.258,All random
1,0.29,0.25,1,149603_57120,0.258,All random
0,0.73,0.14,0,93100_84317,0.258,All random
4,0.41,0.22,4,160_66008,0.258,All random
1,0.37,0.23,1,1808_283149,0.258,All random
1,0.37,0.23,1,2968_58513,0.258,All random
1,0.53,0.19,1,56267_27429,0.258,All random
3,0.29,0.25,3,7469_54472,0.258,All random
3,0.65,0.16,3,3704_81577,0.258,All random
1,0.36,0.23,1,6498_6229,0.256,All random
0,0.4,0.22,0,51150_9361,0.256,All random
3,0.28,0.25,3,54765_8548,0.256,All random
1,0.6,0.17,1,80325_2068,0.256,All random
0,0.52,0.19,0,5414_23274,0.256,All random
3,0.44,0.21,3,79781_11099,0.256,All random
3,0.64,0.16,3,54913_93973,0.256,All random
0,0.52,0.19,0,23196_26063,0.256,All random
4,0.52,0.19,4,2734_5631,0.256,All random
0,0.4,0.22,0,54617_25920,0.256,All random
1,0.68,0.15,1,136319_23597,0.256,All random
3,0.56,0.18,3,4353_112574,0.256,All random
2,0.4,0.22,2,889_89848,0.256,All random
1,0.24,0.26,1,80223_7584,0.256,All random
2,0.44,0.21,2,79830_6617,0.256,All random
3,0.55,0.18,3,6877_54785,0.254,All random
3,0.43,0.21,3,5634_5871,0.254,All random
2,0.63,0.16,2,2180_254552,0.254,All random
4,0.59,0.17,4,1808_55311,0.254,All random
4,0.43,0.21,4,81839_55135,0.254,All random
2,0.39,0.22,2,8436_81,0.254,All random
0,0.27,0.25,0,55904_81628,0.254,All random
3,0.47,0.2,3,54331_112574,0.254,All random
1,0.51,0.19,1,55140_29015,0.254,All random
4,0.39,0.22,4,2968_6497,0.254,All random
0,0.39,0.22,0,124401_79954,0.254,All random
2,0.23,0.26,2,6229_26205,0.254,All random
0,0.67,0.15,0,7323_23597,0.254,All random
1,0.43,0.21,1,7746_7374,0.254,All random
3,0.59,0.17,3,653333_967,0.254,All random
0,0.43,0.21,0,8161_2783,0.254,All random
4,0.43,0.21,4,10241_55975,0.254,All random
4,0.43,0.21,4,7049_2071,0.254,All random
4,0.47,0.2,4,8436_1022,0.254,All random
4,0.47,0.2,4,11329_115207,0.254,All random
1,0.35,0.23,1,3727_7323,0.254,All random
0,0.39,0.22,0,1540_147339,0.254,All random
0,0.35,0.23,0,118_2073,0.254,All random
4,0.59,0.17,4,54994_26063,0.254,All random
4,0.47,0.2,4,5504_2618,0.254,All random
3,0.43,0.21,3,889_388115,0.254,All random
0,0.51,0.19,0,10362_727936,0.254,All random
1,0.46,0.2,1,6772_114884,0.25200000000000006,All random
2,0.46,0.2,2,2314_26063,0.25200000000000006,All random
0,0.62,0.16,0,10799_23468,0.252,All random
0,0.38,0.22,0,11099_5073,0.252,All random
1,0.38,0.22,1,55011_57132,0.252,All random
2,0.5,0.19,2,2239_10212,0.252,All random
0,0.3,0.24,0,10087_55809,0.252,All random
2,0.42,0.21,2,6938_245972,0.252,All random
0,0.54,0.18,0,5634_84067,0.252,All random
0,0.34,0.23,0,2965_115939,0.252,All random
0,0.26,0.25,0,10902_66008,0.252,All random
3,0.54,0.18,3,79781_2968,0.252,All random
2,0.34,0.23,2,1386_54620,0.252,All random
0,0.42,0.21,0,57226_9126,0.252,All random
3,0.34,0.23,3,6275_26507,0.252,All random
2,0.5,0.19,2,162_64426,0.252,All random
1,0.34,0.23,1,23136_23580,0.252,All random
0,0.54,0.18,0,10799_9885,0.252,All random
2,0.45,0.2,2,55140_11004,0.25000000000000006,All random
0,0.45,0.2,0,8607_9270,0.25000000000000006,All random
0,0.45,0.2,0,3925_11044,0.25000000000000006,All random
2,0.45,0.2,2,64146_79172,0.25000000000000006,All random
3,0.45,0.2,3,26093_153129,0.25000000000000006,All random
2,0.33,0.23,2,2073_55975,0.25,All random
1,0.61,0.16,1,54438_55166,0.25,All random
3,0.49,0.19,3,51668_84317,0.25,All random
2,0.53,0.18,2,8767_150737,0.25,All random
3,0.29,0.24,3,5937_147339,0.25,All random
0,0.49,0.19,0,2968_653333,0.25,All random
3,0.41,0.21,3,55112_4010,0.25,All random
3,0.29,0.24,3,9586_321,0.25,All random
3,0.61,0.16,3,642_51377,0.25,All random
1,0.33,0.23,1,55684_2671,0.25,All random
1,0.53,0.18,1,2071_84058,0.25,All random
2,0.49,0.19,2,11329_9014,0.25,All random
2,0.49,0.19,2,162_1666,0.25,All random
2,0.37,0.22,2,79983_23788,0.25,All random
4,0.37,0.22,4,64795_1993,0.25,All random
0,0.33,0.23,0,7917_5423,0.25,All random
3,0.65,0.15,3,151963_11165,0.25,All random
3,0.44,0.2,3,30832_3720,0.24800000000000005,All random
2,0.44,0.2,2,54521_123355,0.24800000000000005,All random
1,0.4,0.21,1,54926_9252,0.24800000000000003,All random
1,0.48,0.19,1,55964_80325,0.24800000000000003,All random
0,0.4,0.21,0,57805_9603,0.24800000000000003,All random
1,0.4,0.21,1,7189_26084,0.24800000000000003,All random
2,0.48,0.19,2,11158_23326,0.24800000000000003,All random
2,0.48,0.19,2,8664_9885,0.24800000000000003,All random
1,0.4,0.21,1,93100_5927,0.24800000000000003,All random
3,0.4,0.21,3,10788_54556,0.24800000000000003,All random
2,0.48,0.19,2,8798_5859,0.24800000000000003,All random
0,0.32,0.23,0,25959_84895,0.24800000000000003,All random
3,0.52,0.18,3,1663_64689,0.248,All random
1,0.52,0.18,1,138716_4350,0.248,All random
2,0.36,0.22,2,23382_9361,0.248,All random
3,0.6,0.16,3,10901_84693,0.248,All random
3,0.28,0.24,3,960_79047,0.248,All random
4,0.28,0.24,4,26058_7917,0.248,All random
3,0.36,0.22,3,9361_23162,0.248,All random
1,0.36,0.22,1,54443_8548,0.248,All random
1,0.43,0.2,1,80152_84058,0.24600000000000005,All random
1,0.55,0.17,1,23545_5631,0.24600000000000002,All random
3,0.47,0.19,3,26512_8061,0.24600000000000002,All random
0,0.47,0.19,0,2239_84838,0.24600000000000002,All random
0,0.39,0.21,0,10788_51566,0.24600000000000002,All random
1,0.31,0.23,1,5509_79871,0.24600000000000002,All random
2,0.39,0.21,2,55357_23176,0.24600000000000002,All random
3,0.59,0.16,3,51668_10094,0.246,All random
4,0.35,0.22,4,10094_6872,0.246,All random
3,0.35,0.22,3,51367_8218,0.246,All random
0,0.51,0.18,0,642_79780,0.246,All random
3,0.63,0.15,3,5634_6383,0.246,All random
3,0.71,0.13,3,93100_2671,0.246,All random
0,0.51,0.18,0,4010_5073,0.246,All random
4,0.42,0.2,4,11329_80152,0.24400000000000005,All random
1,0.42,0.2,1,114882_10095,0.24400000000000005,All random
0,0.42,0.2,0,11004_7881,0.24400000000000005,All random
2,0.54,0.17,2,2968_93973,0.24400000000000002,All random
1,0.38,0.21,1,5509_120,0.24400000000000002,All random
0,0.66,0.14,0,27297_221823,0.24400000000000002,All random
0,0.38,0.21,0,3727_26499,0.24400000000000002,All random
3,0.34,0.22,3,1917_5097,0.24400000000000002,All random
4,0.38,0.21,4,10570_7216,0.24400000000000002,All random
0,0.34,0.22,0,84159_55100,0.24400000000000002,All random
2,0.22,0.25,2,83860_5887,0.24400000000000002,All random
1,0.38,0.21,1,5160_58513,0.24400000000000002,All random
4,0.7,0.13,4,102157402_158,0.244,All random
0,0.5,0.18,0,6738_55135,0.244,All random
0,0.26,0.24,0,11129_54531,0.244,All random
3,0.7,0.13,3,7323_10171,0.244,All random
0,0.5,0.18,0,200081_80179,0.244,All random
0,0.26,0.24,0,6314_10009,0.244,All random
4,0.5,0.18,4,161_79980,0.244,All random
1,0.41,0.2,1,10552_80254,0.24200000000000005,All random
0,0.41,0.2,0,51566_8548,0.24200000000000005,All random
4,0.45,0.19,4,5573_6242,0.24200000000000005,All random
2,0.41,0.2,2,1211_55719,0.24200000000000005,All random
1,0.45,0.19,1,162_27102,0.24200000000000005,All random
2,0.45,0.19,2,64093_6645,0.24200000000000005,All random
3,0.53,0.17,3,23564_7881,0.24200000000000002,All random
0,0.53,0.17,0,1116_7881,0.24200000000000002,All random
0,0.29,0.23,0,51742_6385,0.24200000000000002,All random
3,0.29,0.23,3,7189_7216,0.24200000000000002,All random
4,0.53,0.17,4,57665_23016,0.24200000000000002,All random
0,0.29,0.23,0,219988_23143,0.24200000000000002,All random
1,0.49,0.18,1,64359_653333,0.242,All random
2,0.49,0.18,2,80011_6242,0.242,All random
0,0.57,0.16,0,93100_27429,0.242,All random
1,0.37,0.21,1,57120_5097,0.242,All random
3,0.25,0.24,3,80223_221504,0.242,All random
2,0.37,0.21,2,6617_84895,0.242,All random
4,0.49,0.18,4,55188_387032,0.242,All random
3,0.4,0.2,3,79830_29015,0.24000000000000005,All random
1,0.44,0.19,1,9546_64359,0.24000000000000005,All random
0,0.4,0.2,0,5937_9204,0.24000000000000005,All random
4,0.44,0.19,4,55135_26959,0.24000000000000005,All random
3,0.4,0.2,3,5414_55975,0.24000000000000005,All random
4,0.4,0.2,4,54069_9252,0.24000000000000005,All random
1,0.44,0.19,1,54468_114781,0.24000000000000005,All random
4,0.4,0.2,4,54331_83930,0.24000000000000005,All random
2,0.32,0.22,2,23326_7216,0.24000000000000002,All random
0,0.32,0.22,0,5631_55809,0.24000000000000002,All random
1,0.32,0.22,1,26093_9203,0.24000000000000002,All random
0,0.32,0.22,0,23136_56134,0.24000000000000002,All random
1,0.52,0.17,1,55245_23326,0.24000000000000002,All random
0,0.6,0.15,0,5870_100505876,0.24,All random
0,0.36,0.21,0,10916_1993,0.24,All random
3,0.48,0.18,3,51534_7247,0.24,All random
0,0.6,0.15,0,1022_84693,0.24,All random
3,0.48,0.18,3,63898_79758,0.24,All random
3,0.48,0.18,3,26505_6738,0.24,All random
0,0.24,0.24,0,163071_55004,0.24,All random
1,0.43,0.19,1,1386_727936,0.23800000000000004,All random
3,0.39,0.2,3,114882_84959,0.23800000000000004,All random
4,0.39,0.2,4,163071_64403,0.23800000000000004,All random
3,0.43,0.19,3,27102_80143,0.23800000000000004,All random
1,0.39,0.2,1,55357_51704,0.23800000000000004,All random
2,0.43,0.19,2,199692_23564,0.23800000000000004,All random
3,0.43,0.19,3,83860_158,0.23800000000000004,All random
0,0.39,0.2,0,10916_23764,0.23800000000000004,All random
2,0.43,0.19,2,114882_5859,0.23800000000000004,All random
1,0.31,0.22,1,7323_1112,0.23800000000000002,All random
3,0.51,0.17,3,5859_64320,0.23800000000000002,All random
1,0.55,0.16,1,5634_23016,0.23800000000000002,All random
3,0.31,0.22,3,57226_83540,0.23800000000000002,All random
1,0.47,0.18,1,23545_58513,0.238,All random
3,0.47,0.18,3,245972_27429,0.238,All random
3,0.35,0.21,3,64689_1993,0.238,All random
3,0.47,0.18,3,5603_23186,0.238,All random
4,0.47,0.18,4,50717_1917,0.238,All random
2,0.35,0.21,2,27102_64651,0.238,All random
4,0.47,0.18,4,65982_123355,0.238,All random
1,0.35,0.21,1,58513_8801,0.238,All random
0,0.26,0.23,0,54762_64793,0.23600000000000004,All random
2,0.38,0.2,2,54521_7871,0.23600000000000004,All random
0,0.38,0.2,0,221823_23309,0.23600000000000004,All random
1,0.42,0.19,1,51290_112939,0.23600000000000004,All random
3,0.38,0.2,3,115106_96764,0.23600000000000004,All random
0,0.26,0.23,0,28981_7536,0.23600000000000004,All random
0,0.3,0.22,0,7554_7216,0.23600000000000002,All random
2,0.34,0.21,2,1213_8664,0.23600000000000002,All random
0,0.34,0.21,0,79980_26507,0.23600000000000002,All random
4,0.34,0.21,4,23136_7584,0.23600000000000002,All random
0,0.3,0.22,0,55729_120,0.23600000000000002,All random
1,0.34,0.21,1,3298_26507,0.23600000000000002,All random
3,0.62,0.14,3,404636_27335,0.23600000000000002,All random
4,0.54,0.16,4,945_2639,0.23600000000000002,All random
3,0.5,0.17,3,10570_50617,0.23600000000000002,All random
2,0.54,0.16,2,5692_23016,0.23600000000000002,All random
3,0.54,0.16,3,10239_83443,0.23600000000000002,All random
3,0.46,0.18,3,10901_340371,0.236,All random
1,0.58,0.15,1,79047_29015,0.236,All random
0,0.46,0.18,0,55341_120534,0.236,All random
3,0.37,0.2,3,10468_112574,0.23400000000000004,All random
0,0.37,0.2,0,64359_9252,0.23400000000000004,All random
1,0.25,0.23,1,163071_80223,0.23400000000000004,All random
4,0.41,0.19,4,26512_6683,0.23400000000000004,All random
0,0.33,0.21,0,3799_2969,0.234,All random
4,0.29,0.22,4,10155_57132,0.234,All random
2,0.65,0.13,2,6738_83608,0.234,All random
4,0.29,0.22,4,80301_6871,0.234,All random
4,0.49,0.17,4,11102_55245,0.234,All random
3,0.49,0.17,3,51290_221823,0.234,All random
4,0.49,0.17,4,131076_9140,0.234,All random
1,0.65,0.13,1,754_26118,0.234,All random
4,0.61,0.14,4,27309_158,0.234,All random
4,0.45,0.18,4,81849_9079,0.23399999999999999,All random
0,0.45,0.18,0,6772_219988,0.23399999999999999,All random
2,0.57,0.15,2,573_93973,0.23399999999999999,All random
0,0.45,0.18,0,55752_11329,0.23399999999999999,All random
1,0.45,0.18,1,79781_81,0.23399999999999999,All random
3,0.28,0.22,3,2965_321,0.23200000000000004,All random
3,0.36,0.2,3,26063_2778,0.23200000000000004,All random
0,0.4,0.19,0,26052_10248,0.23200000000000004,All random
1,0.36,0.2,1,8061_113178,0.23200000000000004,All random
3,0.36,0.2,3,55341_151050,0.23200000000000004,All random
1,0.4,0.19,1,11004_23143,0.23200000000000004,All random
4,0.4,0.19,4,1902_10691,0.23200000000000004,All random
2,0.4,0.19,2,10243_79871,0.23200000000000004,All random
2,0.24,0.23,2,23186_54069,0.23200000000000004,All random
0,0.28,0.22,0,64426_11215,0.23200000000000004,All random
2,0.32,0.21,2,163071_527,0.232,All random
4,0.48,0.17,4,162_10480,0.232,All random
4,0.56,0.15,4,2639_25920,0.232,All random
1,0.48,0.17,1,54468_26499,0.232,All random
2,0.32,0.21,2,29066_80824,0.232,All random
4,0.44,0.18,4,55341_7528,0.23199999999999998,All random
0,0.44,0.18,0,160_9131,0.23199999999999998,All random
4,0.39,0.19,4,80145_5097,0.23000000000000004,All random
3,0.27,0.22,3,54069_80824,0.23000000000000004,All random
0,0.35,0.2,0,57111_26205,0.23000000000000004,All random
1,0.35,0.2,1,113130_23149,0.23000000000000004,All random
0,0.35,0.2,0,55339_93426,0.23000000000000004,All random
3,0.39,0.19,3,8667_7027,0.23000000000000004,All random
4,0.31,0.21,4,9411_23059,0.23,All random
3,0.47,0.17,3,7050_5170,0.23,All random
4,0.55,0.15,4,54468_57405,0.23,All random
3,0.59,0.14,3,54926_2783,0.23,All random
4,0.47,0.17,4,51163_2968,0.23,All random
2,0.47,0.17,2,527_79954,0.23,All random
1,0.31,0.21,1,11099_10009,0.23,All random
2,0.55,0.15,2,10570_7746,0.23,All random
3,0.47,0.17,3,161_64320,0.23,All random
1,0.55,0.15,1,5937_114781,0.23,All random
2,0.63,0.13,2,1808_529,0.23,All random
3,0.43,0.18,3,55964_945,0.22999999999999998,All random
1,0.43,0.18,1,51150_2618,0.22999999999999998,All random
1,0.43,0.18,1,56267_26512,0.22999999999999998,All random
3,0.46,0.17,3,53938_79954,0.22800000000000004,All random
1,0.38,0.19,1,3725_7049,0.22800000000000004,All random
3,0.34,0.2,3,8548_4089,0.22800000000000004,All random
0,0.38,0.19,0,23059_84959,0.22800000000000004,All random
4,0.34,0.2,4,6878_2778,0.22800000000000004,All random
4,0.34,0.2,4,1112_120,0.22800000000000004,All random
0,0.22,0.23,0,10036_3397,0.22800000000000004,All random
4,0.38,0.19,4,8844_23597,0.22800000000000004,All random
3,0.26,0.22,3,83987_83608,0.22800000000000004,All random
0,0.58,0.14,0,8624_2639,0.228,All random
3,0.3,0.21,3,219988_54443,0.228,All random
3,0.58,0.14,3,56267_56986,0.228,All random
4,0.5,0.16,4,5692_64121,0.228,All random
0,0.5,0.16,0,1808_7584,0.228,All random
3,0.5,0.16,3,8607_3032,0.228,All random
0,0.3,0.21,0,124401_93426,0.228,All random
3,0.3,0.21,3,6879_80145,0.228,All random
1,0.42,0.18,1,10569_11004,0.22799999999999998,All random
3,0.25,0.22,3,83860_11165,0.22600000000000003,All random
3,0.37,0.19,3,5937_55004,0.22600000000000003,All random
4,0.37,0.19,4,118_27296,0.22600000000000003,All random
3,0.33,0.2,3,6497_9167,0.22600000000000003,All random
4,0.33,0.2,4,56970_9741,0.22600000000000003,All random
3,0.45,0.17,3,5137_7374,0.22600000000000003,All random
4,0.37,0.19,4,63898_8986,0.22600000000000003,All random
3,0.25,0.22,3,9603_54785,0.22600000000000003,All random
2,0.33,0.2,2,989_64793,0.22600000000000003,All random
4,0.45,0.17,4,1514_7469,0.22600000000000003,All random
3,0.37,0.19,3,200081_55719,0.22600000000000003,All random
0,0.57,0.14,0,23016_54913,0.226,All random
0,0.49,0.16,0,2239_6871,0.226,All random
3,0.49,0.16,3,85450_5937,0.226,All random
3,0.57,0.14,3,55813_529,0.226,All random
4,0.29,0.21,4,10569_54762,0.226,All random
0,0.29,0.21,0,10241_27309,0.226,All random
3,0.41,0.18,3,114882_2794,0.22599999999999998,All random
0,0.41,0.18,0,342538_84895,0.22599999999999998,All random
3,0.41,0.18,3,26084_6871,0.22599999999999998,All random
3,0.41,0.18,3,5885_7881,0.22599999999999998,All random
4,0.41,0.18,4,27102_55135,0.22599999999999998,All random
3,0.36,0.19,3,93624_56134,0.22400000000000003,All random
4,0.56,0.14,4,3712_5423,0.22400000000000003,All random
2,0.2,0.23,2,6938_9167,0.22400000000000003,All random
0,0.28,0.21,0,6879_5629,0.22400000000000003,All random
2,0.36,0.19,2,57146_2319,0.22400000000000003,All random
4,0.28,0.21,4,3726_56943,0.22400000000000003,All random
1,0.44,0.17,1,8667_2967,0.22400000000000003,All random
0,0.28,0.21,0,51742_967,0.22400000000000003,All random
3,0.36,0.19,3,7027_136319,0.22400000000000003,All random
1,0.24,0.22,1,329_84838,0.22400000000000003,All random
2,0.36,0.19,2,57695_80254,0.22400000000000003,All random
3,0.52,0.15,3,55752_3397,0.224,All random
0,0.52,0.15,0,26063_7881,0.224,All random
2,0.48,0.16,2,89978_79172,0.224,All random
3,0.52,0.15,3,51148_25920,0.224,All random
2,0.4,0.18,2,9361_81628,0.224,All random
3,0.52,0.15,3,57665_84058,0.224,All random
2,0.4,0.18,2,57805_2319,0.224,All random
4,0.4,0.18,4,55663_27429,0.224,All random
0,0.43,0.17,0,55341_93624,0.22200000000000003,All random
4,0.31,0.2,4,26122_29066,0.22200000000000003,All random
2,0.19,0.23,2,5121_9819,0.22200000000000003,All random
2,0.31,0.2,2,11099_28981,0.22200000000000003,All random
2,0.27,0.21,2,10691_80824,0.22200000000000003,All random
0,0.23,0.22,0,83930_66008,0.22200000000000003,All random
3,0.27,0.21,3,28981_6835,0.22200000000000003,All random
3,0.23,0.22,3,10036_58513,0.22200000000000003,All random
2,0.27,0.21,2,66008_321,0.22200000000000003,All random
0,0.51,0.15,0,7323_2967,0.222,All random
3,0.51,0.15,3,754_52,0.222,All random
4,0.39,0.18,4,9869_945,0.222,All random
2,0.63,0.12,2,54913_23597,0.222,All random
3,0.51,0.15,3,5634_23173,0.222,All random
2,0.46,0.16,2,7554_56267,0.22000000000000003,All random
4,0.26,0.21,4,64146_26058,0.22000000000000003,All random
4,0.54,0.14,4,642_27429,0.22000000000000003,All random
4,0.26,0.21,4,23528_573,0.22000000000000003,All random
3,0.54,0.14,3,10202_10799,0.22000000000000003,All random
1,0.26,0.21,1,23580_4798,0.22000000000000003,All random
0,0.46,0.16,0,5859_25920,0.22000000000000003,All random
4,0.3,0.2,4,6385_7216,0.22000000000000003,All random
3,0.34,0.19,3,2969_64403,0.22000000000000003,All random
1,0.3,0.2,1,23143_28981,0.22000000000000003,All random
0,0.26,0.21,0,351_58513,0.22000000000000003,All random
4,0.3,0.2,4,3727_93343,0.22000000000000003,All random
0,0.34,0.19,0,10094_83987,0.22000000000000003,All random
2,0.42,0.17,2,945_51377,0.22000000000000003,All random
3,0.34,0.19,3,5423_8218,0.22000000000000003,All random
0,0.54,0.14,0,1666_54704,0.22000000000000003,All random
4,0.38,0.18,4,56134_23059,0.22,All random
2,0.38,0.18,2,6683_246243,0.22,All random
4,0.58,0.13,4,1022_158,0.22,All random
4,0.38,0.18,4,8798_9252,0.22,All random
4,0.53,0.14,4,56970_245972,0.21800000000000003,All random
4,0.33,0.19,4,6878_79983,0.21800000000000003,All random
0,0.41,0.17,0,889_23186,0.21800000000000003,All random
3,0.45,0.16,3,10243_93426,0.21800000000000003,All random
3,0.33,0.19,3,26507_27429,0.21800000000000003,All random
2,0.29,0.2,2,26574_7871,0.21800000000000003,All random
1,0.25,0.21,1,54556_10782,0.21800000000000003,All random
3,0.49,0.15,3,3712_3306,0.218,All random
2,0.61,0.12,2,56267_51382,0.218,All random
4,0.49,0.15,4,51163_81577,0.218,All random
3,0.49,0.15,3,57665_26499,0.218,All random
3,0.37,0.18,3,10614_6683,0.21799999999999997,All random
2,0.37,0.18,2,6929_56134,0.21799999999999997,All random
1,0.37,0.18,1,10492_6871,0.21799999999999997,All random
4,0.32,0.19,4,54556_9535,0.21600000000000003,All random
1,0.4,0.17,1,10691_126789,0.21600000000000003,All random
3,0.24,0.21,3,6314_55320,0.21600000000000003,All random
3,0.52,0.14,3,9167_11165,0.21600000000000003,All random
0,0.24,0.21,0,63967_80314,0.21600000000000003,All random
2,0.4,0.17,2,56267_1540,0.21600000000000003,All random
0,0.24,0.21,0,83443_2355,0.21600000000000003,All random
0,0.52,0.14,0,7374_28972,0.21600000000000003,All random
4,0.4,0.17,4,27102_967,0.21600000000000003,All random
